Sample,Total length,Segment,Width,Colour,dwt mg
32A-4.1,6.3,1,N,A,1.7
32A-4.1,6.3,2,W,A,5.2
32A-4.1,6.3,3,W,A,3.1
32A-4.1,6.3,4,W,A,3.2
32A-4.1,6.3,5,W,A,3.3
32A-4.1,6.3,6,N,A,1
32A-4.1,5.6,1,N,A,2
32A-4.1,5.6,2,W,A,4.1
32A-4.1,5.6,3,W,A,4.7
32A-4.1,5.6,4,W,A,4.9
32A-4.1,5.6,5,W,A,4.1
32A-4.1,7.5,1,W,A,2.7
32A-4.1,7.5,2,W,A,3
32A-4.1,7.5,3,W,A,4
32A-4.1,7.5,4,W,A,4.2
32A-4.1,7.5,5,N,A,2.3
32A-4.1,7.5,6,W,A,4.2
32A-4.1,7.5,7,W,A,3.6
32A-4.0,8.3,1,N,A,2.5
32A-4.0,8.3,2,W,A,3.5
32A-4.0,8.3,3,W,A,5.4
32A-4.0,8.3,4,W,A,2.8
32A-4.0,8.3,5,W,A,4.4
32A-4.0,8.3,6,W,A,3.5
32A-4.0,8.3,7,W,A,3.7
32A-4.0,8.3,8,W,A,3
32A-4.0,5.6,1,N,A,2.7
32A-4.0,5.6,2,W,A,2.5
32A-4.0,5.6,3,W,A,2.5
32A-4.0,5.6,4,W,B,1.7
32A-4.0,5.6,5,W,B,1.5
32A-4.0,6,1,W,A,2.9
32A-4.0,6,2,W,A,2
32A-4.0,6,3,W,A,2.1
32A-4.0,6,4,W,A,3
32A-4.0,6,5,W,A,4.3
32A-4.0,6,6,W,A,4.3
32A-1.1,7.6,1,W,A,2.8
32A-1.1,7.6,2,W,A,2.2
32A-1.1,7.6,3,W,A,2.5
32A-1.1,7.6,4,W,A,1.9
32A-1.1,7.6,5,W,A,2.4
32A-1.1,7.6,6,W,A,1.8
32A-1.1,7.6,7,N,A,1.4
32A-1.1,7.3,1,N,A,1.6
32A-1.1,7.3,2,W,A,2.5
32A-1.1,7.3,3,W,A,5.1
32A-1.1,7.3,4,W,A,2.4
32A-1.1,7.3,5,W,B,1.1
32A-1.1,7.3,6,W,A,2.4
32A-1.1,7.3,7,W,A,2.3
32A-1.1,6.1,1,N,A,2
32A-1.1,6.1,2,N,A,1.7
32A-1.1,6.1,3,W,A,2.3
32A-1.1,6.1,4,W,A,3.1
32A-1.1,6.1,5,W,A,5.3
32A-1.1,6.1,6,W,A,3
32A-1.0,8.9,1,W,A,2.4
32A-1.0,8.9,2,W,A,1.9
32A-1.0,8.9,3,W,A,1.2
32A-1.0,8.9,4,W,A,1.3
32A-1.0,8.9,5,W,A,1.5
32A-1.0,8.9,6,W,B,1.7
32A-1.0,8.9,7,W,B,0.6
32A-1.0,8.9,8,N,D,<0.1
32A-1.0,6.4,1,N,A,1.2
32A-1.0,6.4,2,W,A,3.1
32A-1.0,6.4,3,W,A,2.4
32A-1.0,6.4,4,W,A,2.1
32A-1.0,6.4,5,W,A,2.3
32A-1.0,6.4,6,W,A,1.8
32A-1.0,6,1,W,A,2.4
32A-1.0,6,2,W,A,2.1
32A-1.0,6,3,W,A,2.2
32A-1.0,6,4,W,B,0.8
32A-1.0,6,5,N,A,0.8
32A-1.0,6,6,N,B,0.6
32C-4.1,4.6,1,W,A,3.2
32C-4.1,4.6,2,W,A,3.2
32C-4.1,4.6,3,W,A,4.2
32C-4.1,4.6,4,W,A,3.7
32C-4.1,6.8,1,W,A,3
32C-4.1,6.8,2,W,A,4.4
32C-4.1,6.8,3,W,A,3.8
32C-4.1,6.8,4,W,A,3.6
32C-4.1,6.8,5,W,B,1.8
32C-4.1,6.8,6,W,B,2.2
32C-4.1,5,1,W,A,2.9
32C-4.1,5,2,W,A,3.1
32C-4.1,5,3,W,A,3.9
32C-4.1,5,4,W,A,2.7
32C-4.1,5,5,W,A,1.9
32C-4.0,5.8,1,W,A,2.7
32C-4.0,5.8,2,W,A,4.1
32C-4.0,5.8,3,W,A,3.8
32C-4.0,5.8,4,W,A,2.3
32C-4.0,5.8,5,W,A,6.2
32C-4.0,7.7,1,W,A,4.6
32C-4.0,7.7,2,W,A,7.2
32C-4.0,7.7,3,W,A,6.9
32C-4.0,7.7,4,W,A,4.9
32C-4.0,7.7,5,W,A,4.3
32C-4.0,7.7,6,W,B,4.4
32C-4.0,7.7,7,W,B,4.3
32C-4.0,5.8,1,W,A,1.8
32C-4.0,5.8,2,W,A,2.8
32C-4.0,5.8,3,W,A,2.9
32C-4.0,5.8,4,W,A,3.2
32C-4.0,5.8,5,W,A,3.8
32C-1.1,4,1,W,A,4
32C-1.1,4,2,W,A,3.3
32C-1.1,4,3,W,A,4.3
32C-1.1,4,4,W,A,5.9
32C-1.1,6.9,1,W,A,3
32C-1.1,6.9,2,W,A,5.2
32C-1.1,6.9,3,W,A,5.1
32C-1.1,6.9,4,W,A,2.7
32C-1.1,6.9,5,N,A,1.2
32C-1.1,6.9,6,W,B,3
32C-1.1,5.4,1,W,A,4.3
32C-1.1,5.4,2,W,A,4.1
32C-1.1,5.4,3,W,A,3.2
32C-1.1,5.4,4,W,A,4.7
32C-1.1,5.4,5,W,A,5
32C-1.0,8.6,1,N,A,2.7
32C-1.0,8.6,2,W,A,4.8
32C-1.0,8.6,3,W,A,5.5
32C-1.0,8.6,4,W,A,3.9
32C-1.0,8.6,5,W,A,4.7
32C-1.0,8.6,6,W,A,3.7
32C-1.0,8.6,7,W,B,2.9
32C-1.0,8.6,8,N,D,1.2
32C-1.0,8.7,1,N,A,3
32C-1.0,8.7,2,W,A,7.1
32C-1.0,8.7,3,W,A,4
32C-1.0,8.7,4,W,A,5.2
32C-1.0,8.7,5,W,A,5.3
32C-1.0,8.7,6,W,B,5
32C-1.0,8.7,7,W,A,7.6
32C-1.0,8.7,8,W,A,6.6
32C-1.0,9.2,1,N,A,1.5
32C-1.0,9.2,2,W,A,2.9
32C-1.0,9.2,3,W,A,3.3
32C-1.0,9.2,4,W,A,3.8
32C-1.0,9.2,5,W,A,3
32C-1.0,9.2,6,W,A,1.2
32C-1.0,9.2,7,W,A,1.7
32C-1.0,9.2,8,W,A,3
32C-1.0,9.2,9,W,A,3.2
62A-4.1,7,1,W,A,1.6
62A-4.1,7,2,W,A,1.6
62A-4.1,7,3,W,A,1.4
62A-4.1,7,4,W,A,2
62A-4.1,7,5,W,A,1.4
62A-4.1,7,6,W,B,1.3
62A-4.1,7,7,W,B,0.7
62A-4.1,6.6,1,W,A,3
62A-4.1,6.6,2,W,A,6.6
62A-4.1,6.6,3,W,A,7.7
62A-4.1,6.6,4,W,A,6.8
62A-4.1,6.6,5,W,A,5.1
62A-4.1,6.6,6,W,A,5.7
62A-4.1,7.8,1,W,A,2.3
62A-4.1,7.8,2,W,A,3
62A-4.1,7.8,3,W,A,2.2
62A-4.1,7.8,4,W,A,2.5
62A-4.1,7.8,5,W,A,3.7
62A-4.1,7.8,6,W,A,3.3
62A-4.1,7.8,7,W,B,1.6
