From,To,distance,direction,skip,comments
11A,11B,2.3,286,,
11B,11C,2.8,272,,
11A,11C,5,280,,
12A,12B,1.4,354,,
12B,12C,1.6,132,,
12A,12C,1.3,88,,
13A,13B,1.7,350,,
13B,13C,1.6,82,,
13A,13C,2.2,34,,
14A,14B,2.3,142,,
14B,14C,1.6,358,,
14A,14C,1.5,92,,
14A,11A,7.2,134,,
14A,12A,9,166,,
14A,13A,6.3,216,,
21A,21B,3,130,,
21B,21C,1.8,323,,
21A,21C,1.5,112,,
22A,22B,3.7,258,,
22B,22C,2.2,158,,
22A,22C,3.9,228,,
23A,23B,3.2,165,,
23B,23C,1.7,314,,
23A,23C,2,196,,
24A,24B,3,178,,
24B,24C,2,42,,
24A,24C,2.1,140,,
23A,21A,4,110,,
24A,22A,4.4,202,,?
24A,23A,10,167,,*?
24A,22C,1.6,,1,
14A,24A,10.7,15,,*?
31A,31B,2.6,144,,
31B,31C,3.5,42,,
31A,31C,4.2,85,,
32A,32B,1.6,284,,
32B,32C,2,48,,148?* (unlikely: conflicts with A-C vector)
32A,32C,1.6,350,,
33A,33B,2.1,106,,?
33B,33C,3,134,1,?
33A,33C,1.5,172,,?
34A,34B,1.8,52,,
34B,34C,1.8,320,,
34A,34C,2.5,6,,
34A,31A,8.7,132,,
34A,32A,6.1,310,,6.1m @310?  Adjusted to prevent overlap with Block 4
34A,33A,1.5,176,,
33A,31A,2.6,124
14A,34A,10.6,334
34A,44A,7,12
41A,41B,1.4,88
41B,41C,3.1,270
41A,41C,1.7,275
42A,42B,4.9,120
42B,42C,2.6,110
42A,42C,7.5,115
43A,43B,2.2,60
43B,43C,4.1,194
43A,43C,3.1,166
44A,44B,1.8,20
44B,44C,1.5,0
44A,44C,3.4,8
44A,41A,3.3,90
44A,42A,8.4,352,,GPS coordinates do not match this
44A,43A,5.2,280,,(1)??
34A,41B,2.6,,1,?? 7m?
42A,54A,11.5,346,1,~ estimate
51A,51B,2.7,260,,
51B,51C,4.5,92,,
51A,51C,2,108,,
52A,52B,2.1,341,,
52B,52C,1.7,320,,
52A,52C,3.8,334,,
53A,53B,7.4,324,,
53B,53C,4,148,,
53A,53C,3.5,326,,
54A,54B,1.7,304,,
54B,54C,2.9,102,,
54A,54C,1.5,80,,1.6m?
54A,51A,6.5,260,,
54A,52A,3.7,248,,
54A,53A,3.4,324,,
61A,61B,1.6,40,,
61B,61C,2.2,70,,
61A,61C,3.7,56,,
62A,62B,3.3,224,,
62B,62C,1.7,25,,
62A,62C,1.9,242,,
63A,63B,2.1,55,,
63B,63C,1.7,46,,
63A,63C,3.8,50,,48¼?
64A,64B,1.8,304,,
64B,64C,3.1,188,,
64A,64C,2.7,222,,
64A,61A,,,,
64A,62A,13.5,222
64A,63A,3.6,290
62A,61A,2.7,320
71A,71B,2.1,78
71B,71C,1.5,186
71A,71C,2.1,124
72A,72B,6.5,98
72B,72C,1.7,264
72A,72C,4.9,102
73A,73B,2.3,271
73B,73C,1.5,372
73A,73C,2.6,310
74A,74B,4.3,104
74B,74C,2.7,254
74A,74C,2.7,140
74A,71A,6.3,138
74A,72A,,,1,
74A,73A,8,,1,guess
71A,73A,5,,1,guess
81A,81B,2.3,100,,
81B,81C,2.7,184,,
81A,81C,3.7,148,,
82A,82B,1.7,173,,
82B,82C,5.9,50,,
82A,82C,5,63,,
83A,83B,8.4,312,,
83B,83C,11.2,121,,
83A,83C,3.1,128,,128 or 178?
84A,84B,3.9,70,,
84B,84C,2.4,247,,
84A,84C,1.5,80,,
84A,81A,7.5,334,,
84A,82A,7.5,20,,
84A,83A,,,1,
81A,83A,10,340,,guess
