Block,time,Chamber,Plot,mx,my,GPS,comments
1,1,A,11A,,,,
1,1,B,11B,,,,
1,1,C,11C,,,,
1,2,A,12A,,,,
1,2,B,12B,,,,
1,2,C,12C,,,,
1,3,A,13A,,,,
1,3,B,13B,,,,
1,3,C,13C,,,,
1,4,A,14A,642185,6074268,,?
1,4,B,14B,,,,
1,4,C,14C,,,,
2,1,A,21A,,,,
2,1,B,21B,,,,
2,1,C,21C,,,,
2,2,A,22A,,,,
2,2,B,22B,,,,
2,2,C,22C,,,,
2,3,A,23A,642192,6074273,,"? GPS data, but mismatch with vector measurements"
2,3,B,23B,,,,
2,3,C,23C,,,,
2,4,A,24A,642185,6074280,,"GPS data, but mismatch with vector measurements"
2,4,B,24B,,,,
2,4,C,24C,,,,
3,1,A,31A,642188,6074274,,Too many GPS points close together: more error than vector measurements!
3,1,B,31B,,,,
3,1,C,31C,,,,
3,2,A,32A,,,,
3,2,B,32B,,,,
3,2,C,32C,,,,
3,3,A,33A,,,,
3,3,B,33B,,,,
3,3,C,33C,,,,
3,4,A,34A,642180,6074277,,Too many GPS points close together: more error than vector measurements!
3,4,B,34B,,,,
3,4,C,34C,,,,
4,1,A,41A,,,,
4,1,B,41B,,,,
4,1,C,41C,,,,
4,2,A,42A,642174,6074291,1,?* agrees well with vector data to Block 5
4,2,B,42B,,,,
4,2,C,42C,,,,
4,3,A,43A,,,,
4,3,B,43B,,,,
4,3,C,43C,,,,
4,4,A,44A,642177,6074288,,"GPS data, but unreliable? 42A will take precedence"
4,4,B,44B,,,,
4,4,C,44C,,,,
5,1,A,51A,642156,6074299,,"GPS data, but mismatch with vector measurements"
5,1,B,51B,,,,
5,1,C,51C,,,,
5,2,A,52A,,,,
5,2,B,52B,,,,
5,2,C,52C,,,,
5,3,A,53A,,,,
5,3,B,53B,,,,
5,3,C,53C,,,,
5,4,A,54A,642172,6074302,1,
5,4,B,54B,,,,
5,4,C,54C,,,,
6,1,A,61A,,,,
6,1,B,61B,,,,
6,1,C,61C,,,,
6,2,A,62A,642188,6074379,1,"GPS data, but mismatch with vector measurements"
6,2,B,62B,,,,
6,2,C,62C,,,,
6,3,A,63A,,,,
6,3,B,63B,,,,
6,3,C,63C,,,,
6,4,A,64A,642196,6074378,,?
6,4,B,64B,,,,
6,4,C,64C,,,,
7,1,A,71A,,,,
7,1,B,71B,,,,
7,1,C,71C,,,,
7,2,A,72A,642116,6074206,1,
7,2,B,72B,,,,
7,2,C,72C,,,,
7,3,A,73A,,,,
7,3,B,73B,,,,
7,3,C,73C,,,,
7,4,A,74A,642098,6074233,1,
7,4,B,74B,,,,
7,4,C,74C,,,,
8,1,A,81A,642107,6074305,,"GPS data, but mismatch with vector measurements"
8,1,B,81B,,,,
8,1,C,81C,,,,
8,2,A,82A,,,,
8,2,B,82B,,,,
8,2,C,82C,,,,
8,3,A,83A,,,,
8,3,B,83B,,,,
8,3,C,83C,,,,
8,4,A,84A,642120,6074289,1,?
8,4,B,84B,,,,
8,4,C,84C
