SampleID,Block,Time,Chamber,Fragmentation,Position,SampleControl,Notes,Date collected,Date analyzed,Temperature ( C) lab,Pressure (kPa) lab,_mol / ml,Calibration Date (most recent),C2H4 calibration slope,C2H2 Calibration slope,C2H2 Height,C2H2 Area,C2H2 _mol,C2H2 _mol (calc),_mol C2H2 / injection,C2H4 Height,C2H4 Area,C2H4 _mol,C2H4 _mol (calc),_mol C2H4 / injection,%C2H4 ml,%C2H4 ARA,Control,Blank,ARA (_mol/ml),ARA (_mol·m-2·d-1),ARA* (_mol/ml),ARA* (_mol·m-2·d-1)
14A-G1,1,4,A,,1,blank,,,2011-02-08,24,105.0,42.520338,2010-09-21,265823000,319985600,57119769,527272124,1.647800,1.647800,1.647800,222,867,0.000003,0.000003,0.000003,0.000000,1.82061E-06,,0.000003,,,,
14C-G2,1,4,C,"2,4",2,blank,,,2011-02-08,24,105.0,42.520338,2010-09-21,265823000,319985600,51785158,470209833,1.469472,1.469472,1.469472,1966,10327,0.000039,0.000039,0.000039,0.000001,2.65394E-05,,0.000039,,,,
14C-G3,1,4,C,"1,3",3,blank,,,2011-02-08,24,105.0,42.520338,2010-09-21,265823000,319985600,56621106,508439219,1.588944,1.588944,1.588944,777,2932,0.000011,0.000011,0.000011,0.000000,6.92279E-06,,0.000039,,,,
14B-G4,1,4,B,,4,blank,,,2011-02-08,24,105.0,42.520338,2010-09-21,265823000,319985600,50854532,458271593,1.432163,1.432163,1.432163,680,3581,0.000013,0.000013,0.000013,0.000000,9.0771E-06,,0.000013,,,,
14A-1.0c,1,4,A,1,0,control,,,2011-02-08,24,105.0,42.520338,2010-09-21,265823000,319985600,1409678,12959503,0.040500,0.040500,0.040500,5849,59612,0.000224,0.000224,0.000224,0.000005,0.005500442,,0.000003,,,,
14A-1.1c,1,4,A,1,1,control,,,2011-02-08,24,105.0,42.520338,2010-09-21,265823000,319985600,1322709,11981267,0.037443,0.037443,0.037443,5177,52061,0.000196,0.000196,0.000196,0.000005,0.005207365,,0.000003,,,,
14A-1.0,1,4,A,1,0,Sample,,,2011-02-08,24,105.0,42.520338,2010-09-21,265823000,319985600,56921211,520342796,1.626145,1.626144,1.626145,16570,139576,0.000525,0.000525,0.000525,0.000012,0.000322745,0.000224,0.000003,0.000298,24.8,0.000522,43.5
14A-1.1,1,4,A,1,1,Sample,,,2011-02-08,24,105.0,42.520338,2010-09-21,265823000,319985600,54587768,504214469,1.575741,1.575741,1.575741,5858,51174,0.000193,0.000193,0.000193,0.000005,0.000122467,0.000196,0.000003,-0.000006,-0.5,0.000190,15.8
14A-1.N,1,4,A,1,N,Sample,,,2011-02-08,24,105.1,42.560834,2010-09-21,265823000,319985600,53669868,489132316,1.528607,1.528607,1.528607,3047,30592,0.000115,0.000115,0.000115,0.000003,7.52262E-05,0.000210,0.000003,-0.000098,-8.2,0.000112,9.3
14A-1.W,1,4,A,1,W,Sample,,,2011-02-08,24,105.1,42.560834,2010-09-21,265823000,319985600,59421028,524751998,1.639924,1.639924,1.639924,15430,128602,0.000484,0.000484,0.000484,0.000011,0.000295049,0.000210,0.000003,0.000271,22.6,0.000481,40.1
14A-2.0c,1,4,A,2,0,control,,,2011-02-08,24,105.2,42.601330,2010-09-21,265823000,319985600,238916,2258591,0.007058,0.007058,0.007058,4087,43030,0.000162,0.000162,0.000162,0.000004,0.022437673,,0.000003,,,,
14A-2.1c,1,4,A,2,1,control,,,2011-02-08,24,105.2,42.601330,2010-09-21,265823000,319985600,1155932,10523867,0.032889,0.032889,0.032889,5257,53007,0.000199,0.000199,0.000199,0.000005,0.006014265,,0.000003,,,,
14A-2.0,1,4,A,2,0,Sample,,,2011-02-08,24,105.2,42.601330,2010-09-21,265823000,319985600,46955465,440921810,1.377943,1.377943,1.377943,23164,203588,0.000766,0.000766,0.000766,0.000018,0.000555592,0.000162,0.000003,0.000601,50.1,0.000763,63.6
14A-2.1,1,4,A,2,1,Sample,,,2011-02-08,24,105.2,42.601330,2010-09-21,265823000,319985600,52210829,480883001,1.502827,1.502827,1.502827,24589,215146,0.000809,0.000809,0.000809,0.000019,0.000538029,0.000199,0.000003,0.000607,50.6,0.000806,67.2
14A-2.S,1,4,A,2,S,Sample,,,2011-02-08,24,105.2,42.601330,2010-09-21,265823000,319985600,56382876,520116975,1.625439,1.625439,1.625439,21662,185351,0.000697,0.000697,0.000697,0.000016,0.000428623,0.000181,0.000003,0.000513,42.8,0.000694,57.8
