bagID,Chamber,block,time,Warming,Fragmentation,position,Type,dwt.initial,dwt.final,mass.loss,prop.mass.loss,Notes
001,,,,,,,Control,0.3838,0.3189,0.0649,0.1691,
002,64A,6,4,A,,,Ambient,0.3889,0.3563,0.0326,0.0838,
003,,,,,,,Control,0.3973,0.3256,0.0717,0.1805,
004,14A,1,4,A,,,Ambient,0.4843,0.4317,0.0526,0.1086,
005,34C,3,4,C,,,Ambient,0.4282,0.3896,0.0386,0.0901,
006,,,,,,,Control,0.2688,0.2105,0.0583,0.2169,
007,34A,3,4,A,,,Ambient,0.3356,0.2995,0.0361,0.1076,
008,,,,,,,Control,0.4422,0.3872,0.0550,0.1244,labels melted a bit - not sure about label?
009,24A,2,4,A,,,Ambient,0.3622,0.3279,0.0343,0.0947,
010,54C,5,4,C,,,Ambient,0.3624,0.3191,0.0433,0.1195,
011,64C,6,4,C,,,Ambient,0.4244,0.3555,0.0689,0.1623,
012,,,,,,,Control,0.3540,0.2965,0.0575,0.1624,?
013,84B,8,4,B,,,Ambient,0.4952,0.4550,0.0402,0.0812,
014,,,,,,,Control,0.3265,0.2563,0.0702,0.2150,
015,,,,,,,Control,0.4329,0.3801,0.0528,0.1220,
016,34B,3,4,B,,,Ambient,0.4627,0.4087,0.0540,0.1167,
017,14C,1,4,C,,,Ambient,0.3524,,,,missing in field (not recovered)
018,24B,2,4,B,,,Ambient,0.3583,0.2672,0.0911,0.2543,
019,84C,8,4,C,,,Ambient,0.4277,0.3741,0.0536,0.1253,
020,64B,6,4,B,,,Ambient,0.3749,0.2843,0.0906,0.2417,
021,,,,,,,Control,0.3139,0.2541,0.0598,0.1905,
022,14B,1,4,B,,,Ambient,0.3628,,,,missing in field (not recovered)
023,54B,5,4,B,,,Ambient,0.3610,,,,missing in field (not recovered)
024,,,,,,,Control,0.3942,0.3239,0.0703,0.1783,
025,44B,4,4,B,,,Ambient,0.3261,0.2742,0.0519,0.1592,
026,,,,,,,Control,0.4843,0.4405,0.0438,0.0904,?
027,54A,5,4,A,,,Ambient,0.5971,0.5620,0.0351,0.0588,
028,44A,4,4,A,,,Ambient,0.3810,0.3347,0.0463,0.1215,
029,,,,,,,Control,0.5462,0.4798,0.0664,0.1216,?
030,74C,7,4,C,,,Ambient,0.4338,,,,missing in field (not recovered)
031,74A,7,4,A,,,Ambient,0.3345,0.2705,0.0640,0.1913,
032,,,,,,,Control,0.3980,0.3544,0.0436,0.1095,?
033,44C,4,4,C,,,Ambient,0.3939,0.3476,0.0463,0.1175,
034,,,,,,,Control,0.4256,0.3772,0.0484,0.1137,?
035,84A,8,4,A,,,Ambient,0.4405,0.3879,0.0526,0.1194,
036,,,,,,,Control,0.4290,0.3695,0.0595,0.1387,
037,,,,,,,Control,0.4265,0.3716,0.0549,0.1287,?
038,24C,2,4,C,,,Ambient,0.5419,0.5045,0.0374,0.0690,
039,,,,,,,Control,0.4803,0.4143,0.0660,0.1374,
040,74B,7,4,B,,,Ambient,0.3143,0.2651,0.0492,0.1565,
041,54B,5,4,B,3,E,Experiment,0.3193,0.2649,0.0544,0.1704,
042,,,,,,,Control,0.4202,0.3601,0.0601,0.1430,
043,,,,,,,Control,0.4015,0.3370,0.0645,0.1606,
044,54C,5,4,C,3,E,Experiment,0.4288,0.3872,0.0416,0.0970,
045,,,,,,,Control,0.5155,0.4485,0.0670,0.1300,
046,54B,5,4,B,1,S,Experiment,0.4267,0.3904,0.0363,0.0851,
047,54A,5,4,A,3,E,Experiment,0.3614,0.2863,0.0751,0.2078,
048,54C,5,4,C,2,N,Experiment,0.4739,0.4162,0.0577,0.1218,
049,54C,5,4,C,3,N,Experiment,0.4736,0.4027,0.0709,0.1497,
050,,,,,,,Control,0.4464,0.3682,0.0782,0.1752,
051,,,,,,,Control,0.4028,0.3300,0.0728,0.1807,
052,54C,5,4,C,4,E,Experiment,0.5052,0.4666,0.0386,0.0764,
053,,,,,,,Control,0.5791,0.4955,0.0836,0.1444,
054,54C,5,4,C,1,S,Experiment,0.4666,0.3985,0.0681,0.1459,
055,54C,5,4,C,4,S,Experiment,0.4110,0.3622,0.0488,0.1187,
056,54B,5,4,B,1,W,Experiment,0.4102,0.3553,0.0549,0.1338,
057,54B,5,4,B,4,S,Experiment,0.3878,0.3458,0.0420,0.1083,
058,54A,5,4,A,1,W,Experiment,0.5885,0.5051,0.0834,0.1417,
059,,,,,,,Control,0.4751,0.4068,0.0683,0.1438,?
060,54A,5,4,A,4,N,Experiment,0.4280,0.3711,0.0569,0.1329,
061,54A,5,4,A,2,W,Experiment,0.5009,0.4554,0.0455,0.0908,
062,,,,,,,Control,0.3500,0.2953,0.0547,0.1563,
063,54B,5,4,B,2,N,Experiment,0.4803,0.4328,0.0475,0.0989,
064,54A,5,4,A,1,S,Experiment,0.4693,0.4263,0.0430,0.0916,
065,54B,5,4,B,4,E,Experiment,0.4153,0.3266,0.0887,0.2136,
066,,,,,,,Control,0.3832,0.3246,0.0586,0.1529,
067,54A,5,4,A,3,S,Experiment,0.4536,0.4018,0.0518,0.1142,
068,,,,,,,Control,0.4751,0.4109,0.0642,0.1351,
069,54B,5,4,B,3,N,Experiment,0.3900,0.3523,0.0377,0.0967,
070,,,,,,,Control,0.4550,0.3940,0.0610,0.1341,?
071,,,,,,,Control,0.4395,0.3534,0.0861,0.1959,
