ID,Block,Time,Chamber,Plot,Frag,pos,grow01,grow12,grow23,notes01,notes12,notes23
13A-1.0,1,3,A,13A,1,0,.,3.06,5.08,,,
13A-1.1,1,3,A,13A,1,1,.,-0.48,3.00,,,
13A-1.N,1,3,A,13A,1,N,.,2.99,3.96,,,
13A-2.0,1,3,A,13A,2,0,.,5.41,1.47,,loose,loose
13A-2.1,1,3,A,13A,2,1,.,-0.16,1.23,,,
13A-2.W,1,3,A,13A,2,W,.,6.62,4.56,,,
13A-2.c,1,3,A,13A,2,c,.,-2.17,1.06,,,
13A-3.0,1,3,A,13A,3,0,.,5.54,4.60,,,
13A-3.1,1,3,A,13A,3,1,.,3.86,3.71,,,
13A-3.S,1,3,A,13A,3,S,.,2.79,5.37,,,
13A-3.c,1,3,A,13A,3,c,.,5.62,4.39,,,
13A-4.0,1,3,A,13A,4,0,.,3.38,3.23,,,
13A-4.1,1,3,A,13A,4,1,.,7.69,6.96,,,
13A-4.E,1,3,A,13A,4,E,.,4.20,4.35,,,
13B-1.0,1,3,B,13B,1,0,.,3.90,0.64,,,
13B-1.1,1,3,B,13B,1,1,.,4.91,2.87,,,
13B-1.S,1,3,B,13B,1,S,.,5.28,4.34,,,
13B-2.0,1,3,B,13B,2,0,.,3.95,4.45,,,
13B-2.1,1,3,B,13B,2,1,.,8.17,1.66,curly,,curly
13B-2.E,1,3,B,13B,2,E,.,4.09,-2.24,curly,dry,
13B-2.c,1,3,B,13B,2,c,.,6.83,5.38,,,
13B-3.0,1,3,B,13B,3,0,.,1.59,0.62,,,
13B-3.1,1,3,B,13B,3,1,.,.,.,,broken,broken?
13B-3.N,1,3,B,13B,3,N,.,3.36,1.72,,,
13B-3.c,1,3,B,13B,3,c,.,-0.24,-0.34,,,
13B-4.0,1,3,B,13B,4,0,.,0.12,3.26,,,
13B-4.1,1,3,B,13B,4,1,.,4.02,3.82,,,
13B-4.W,1,3,B,13B,4,W,.,5.22,3.42,curly,,
13C-1.0,1,3,C,13C,1,0,.,0.69,-0.10,,dry,dry
13C-1.1,1,3,C,13C,1,1,.,0.92,3.61,,,
13C-1.W,1,3,C,13C,1,W,.,0.78,1.14,,,dry + curly
13C-2.0,1,3,C,13C,2,0,.,1.14,-0.74,curled,dry,"loose, dry + curly"
13C-2.1,1,3,C,13C,2,1,.,4.63,6.74,,,
13C-2.N,1,3,C,13C,2,N,.,3.38,-1.05,,"dry, curly",curly
13C-2.c,1,3,C,13C,2,c,.,3.43,2.76,,,
13C-3.0,1,3,C,13C,3,0,.,1.64,-1.85,curled,dry,"dry, spider webs"
13C-3.1,1,3,C,13C,3,1,.,5.13,3.40,,,
13C-3.S,1,3,C,13C,3,S,.,4.99,3.33,,,
13C-3.c,1,3,C,13C,3,c,.,6.15,4.82,,,
13C-4.0,1,3,C,13C,4,0,.,0.22,-0.59,,dry,
13C-4.1,1,3,C,13C,4,1,.,2.39,-1.15,,,
13C-4.E,1,3,C,13C,4,E,.,4.53,-2.03,,,
14A-1.0,1,4,A,14A,1,0,7.90,2.27,6.70,,,
14A-1.1,1,4,A,14A,1,1,5.84,0.89,1.98,,,
14A-1.N,1,4,A,14A,1,N,6.13,4.55,5.03,,,wet
14A-1.W,1,4,A,14A,1,W,8.69,3.99,3.45,,,
14A-2.0,1,4,A,14A,2,0,2.14,.,1.67,broke (new length = t1.1),"branched, previously broken",curly: new tip
14A-2.1,1,4,A,14A,2,1,8.49,2.49,2.45,,curly,
14A-2.S,1,4,A,14A,2,S,.,2.04,6.15,,,
14A-2.c,1,4,A,14A,2,c,5.23,3.36,4.51,,,
14A-2.c2,1,4,A,14A,2,c2,.,2.46,3.75,,black thread,
14A-3.0,1,4,A,14A,3,0,1.47,0.41,-0.66,broken?,previously broken,broken? New tip?
14A-3.1,1,4,A,14A,3,1,7.97,6.09,3.00,,,
14A-3.E,1,4,A,14A,3,E,.,-0.39,2.67,curly,,
14A-3.c,1,4,A,14A,3,c,7.99,.,-2.01,,previously broken,"brown, broken?"
14A-3.c2,1,4,A,14A,3,c2,.,3.65,5.50,,,
14A-4.0,1,4,A,14A,4,0,10.11,4.49,8.33,,"loose, curly","loose, bent"
14A-4.1,1,4,A,14A,4,1,7.09,1.97,5.75,,,
14A-4.N,1,4,A,14A,4,N,6.22,0.40,8.50,,,broken? New tip?
14A-E.0,1,4,A,14A,E,0,.,4.64,-2.00,curly,loose,curly
14A-E.1,1,4,A,14A,E,1,.,1.59,-0.35,,broke,broken
14A-N.0,1,4,A,14A,N,0,.,2.91,4.97,,,curly
14A-N.1,1,4,A,14A,N,1,.,4.23,-0.56,curly,curly,
14A-S.0,1,4,A,14A,S,0,.,1.55,4.99,curly,,
14A-S.1,1,4,A,14A,S,1,.,1.88,3.94,,,
14A-W.0,1,4,A,14A,W,0,.,4.68,5.12,,,curly
14A-W.1,1,4,A,14A,W,1,.,2.01,6.41,,loose,
14B-1.0,1,4,B,14B,1,0,2.04,3.31,0.55,,,
14B-1.1,1,4,B,14B,1,1,7.03,6.69,5.15,,,
14B-1.S,1,4,B,14B,1,S,3.31,2.47,1.99,,,
14B-2.0,1,4,B,14B,2,0,6.41,4.26,-0.53,,,dry + curly
14B-2.1,1,4,B,14B,2,1,6.94,6.70,-5.53,,loose,"loose, dry + curly"
14B-2.W,1,4,B,14B,2,W,.,2.06,4.57,curly,,dry
14B-2.c,1,4,B,14B,2,c,2.29,3.62,2.74,,loose,dry + curly
14B-2.c2,1,4,B,14B,2,c2,.,5.00,2.18,,,curly
14B-3.0,1,4,B,14B,3,0,2.79,4.64,-0.08,,,
14B-3.1,1,4,B,14B,3,1,3.83,5.47,3.42,,,
14B-3.E,1,4,B,14B,3,E,.,4.53,5.83,,,
14B-3.c,1,4,B,14B,3,c,2.11,-0.72,-0.28,,dry,
14B-3.c2,1,4,B,14B,3,c2,.,6.06,6.36,,,
14B-4.0,1,4,B,14B,4,0,5.31,5.33,5.10,,,dry + curly
14B-4.1,1,4,B,14B,4,1,9.23,5.07,2.18,,,curly
14B-4.N,1,4,B,14B,4,N,3.44,-0.75,5.60,,dry,curly
14B-E.0,1,4,B,14B,E,0,.,3.64,6.97,curly,,
14B-E.1,1,4,B,14B,E,1,.,2.97,6.14,,,
14B-N.0,1,4,B,14B,N,0,.,-3.02,4.27,,,
14B-N.1,1,4,B,14B,N,1,.,2.74,5.48,,,
14B-S.0,1,4,B,14B,S,0,.,4.99,8.59,,,
14B-S.1,1,4,B,14B,S,1,.,1.44,3.22,curly,,
14B-W.0,1,4,B,14B,W,0,.,2.76,5.66,,,
14B-W.1,1,4,B,14B,W,1,.,2.25,6.02,,,curly
14C-1.0,1,4,C,14C,1,0,1.26,-1.65,-0.05,,"dry, curly",dry + curly
14C-1.1,1,4,C,14C,1,1,-2.95,2.46,-0.76,broken; 17.64,,curly
14C-1.N,1,4,C,14C,1,N,2.58,-0.29,-1.29,,,dry + curly
14C-2.0,1,4,C,14C,2,0,3.23,-3.82,2.01,,"dry, curly",dry + curly
14C-2.1,1,4,C,14C,2,1,7.07,2.98,2.83,,,
14C-2.W,1,4,C,14C,2,W,.,1.32,2.51,,,
14C-2.c,1,4,C,14C,2,c,0.69,-2.05,0.50,,dry,dry + curly
14C-2.c2,1,4,C,14C,2,c2,.,3.37,2.87,,,
14C-3.0,1,4,C,14C,3,0,0.48,-2.34,0.91,,dry,dry + curly
14C-3.1,1,4,C,14C,3,1,12.97,7.58,7.25,,,
14C-3.S,1,4,C,14C,3,S,.,4.18,3.64,,,curly
14C-3.c,1,4,C,14C,3,c,6.36,3.87,6.89,,,2 shoots!
14C-3.c2,1,4,C,14C,3,c2,.,0.46,-0.64,,,dry + curly
14C-4.0,1,4,C,14C,4,0,7.12,-6.05,-0.07,,"dry, curly","loose, dry + curly"
14C-4.1,1,4,C,14C,4,1,1.01,7.52,3.57,,,"broke, curly"
14C-4.S,1,4,C,14C,4,S,4.65,1.74,2.58,,,
14C-E.0,1,4,C,14C,E,0,.,0.38,3.70,,,
14C-E.1,1,4,C,14C,E,1,.,5.15,10.92,,,
14C-N.0,1,4,C,14C,N,0,.,5.37,7.32,,,
14C-N.1,1,4,C,14C,N,1,.,2.22,5.15,,,
14C-S.0,1,4,C,14C,S,0,.,3.59,-1.76,,,curly
14C-S.1,1,4,C,14C,S,1,.,2.99,6.14,,,loose thread
14C-W.0,1,4,C,14C,W,0,.,2.47,3.93,,,curly
14C-W.1,1,4,C,14C,W,1,.,-1.41,0.88,dry?,,dry!
23A-1.0,2,3,A,23A,1,0,.,8.53,.,,,broken
23A-1.1,2,3,A,23A,1,1,.,9.74,5.15,,,messy
23A-1.W,2,3,A,23A,1,W,.,4.56,6.78,,broken,"messy, broken?"
23A-2.0,2,3,A,23A,2,0,.,6.74,-0.44,,,
23A-2.1,2,3,A,23A,2,1,.,5.26,8.30,,,
23A-2.N,2,3,A,23A,2,N,.,4.86,5.03,,,
23A-2.c,2,3,A,23A,2,c,.,6.41,6.29,,,
23A-3.0,2,3,A,23A,3,0,.,1.05,-0.99,,,broken
23A-3.1,2,3,A,23A,3,1,.,2.35,2.08,,,
23A-3.E,2,3,A,23A,3,E,.,3.86,2.33,,,
23A-3.c,2,3,A,23A,3,c,.,3.16,-0.02,,,
23A-4.0,2,3,A,23A,4,0,.,3.81,0.52,,,
23A-4.1,2,3,A,23A,4,1,.,5.86,4.60,,,
23A-4.S,2,3,A,23A,4,S,.,5.92,7.79,,,
23B-1.0,2,3,B,23B,1,0,.,5.96,7.09,,,
23B-1.1,2,3,B,23B,1,1,.,0.67,0.29,,,curly
23B-1.N,2,3,B,23B,1,N,.,1.96,0.42,curly,curly,dry + curly
23B-2.0,2,3,B,23B,2,0,.,2.60,5.51,,curly,
23B-2.1,2,3,B,23B,2,1,.,6.49,4.39,,,
23B-2.S,2,3,B,23B,2,S,.,5.13,1.35,,,
23B-2.c,2,3,B,23B,2,c,.,4.77,4.26,,,
23B-3.0,2,3,B,23B,3,0,.,.,.,,broken,broken?
23B-3.1,2,3,B,23B,3,1,.,9.05,6.43,,,
23B-3.E,2,3,B,23B,3,E,.,4.44,-1.86,"curly, loose",,dry + curly
23B-3.c,2,3,B,23B,3,c,.,5.54,0.17,curly,,
23B-4.0,2,3,B,23B,4,0,.,2.39,0.47,,,
