Taxonomic Group,Major Taxa,ZL-JAW-notes,ZL sp ID,JAW sp ID,JAW Species Description,JAW Species Notes,sp_alias
Mesostigmata,Sejidae,no equivalent in JAW's data?,Sejina sp.,,,,Sejina sp.
Mesostigmata,Uropodina,,Uropodid sp. 2,Uropodina sp.1,"flat, anterior 'frill' brown/pink",,Uropodina sp.1
Mesostigmata,Uropodina,,Uropodid sp. 2,Uropodina sp.1i (imm),3 legs = larva,,Uropodina sp.1
Mesostigmata,Uropodina,"Zo‘ says the shield is divided on JAW's slide, but not necessarily the same as ZL's Uropodid sp.3.  We're calling them immatures of my Uropodina sp.2",Uropodid sp. 2,Uropodina sp.1a (imm),"white, pink, 4 legs",Zo‘ says the shield is divided on slide,Uropodina sp.1
Mesostigmata,Uropodina,,Uropodid sp. 1,Uropodina sp.2,"flat, wider frill pink/white",,Uropodina sp.2
Mesostigmata,Uropodina,,Uropodid sp. 1,Uropodina sp.2i (imm),3 legs = larva,,Uropodina sp.2
Mesostigmata,Uropodina,No slide for ZL,Pergamascus,Uropodoidea sp.3,"round, smooth, heavily sclerotized.  Tongue-shaped epigynal shield.",,Pergamascus sp.
Mesostigmata,Uropodina,,Pergamascus,Uropodoidea sp.3a (imm),"pink, flatter",,Pergamascus sp.
Mesostigmata,Uropodina,"no equivalent in Zo‘'s data; counts match relatively well, especially if taking into acccount individuals removed for SIA",Uropodid sp. 3,Dithinozerconidae spp.4,"diamond, setae on tubercles (no visible fringe)",Zo‘ thinks there is more than 1 species on the slide,Uropodina sp.3
Mesostigmata,Uropodina,"no equivalent in Zo‘'s data; counts match relatively well, especially if taking into acccount individuals removed for SIA",Uropodid sp. 4,Dithinozerconidae spp.4i,"pink, 3 legs, 4 lg post setae",,Uropodina sp.3
Mesostigmata,Gamasina,my slide example has long posterior setae,Zerconid sp. 2-Zercon sp.,Zerconidae sp.1,"4 dorsal recesses, long post-dorsal setae",,Zercon sp.
Mesostigmata,Gamasina,,Zerconid sp. 2-Zercon sp. (imm),Zerconidae sp.1a (imm),"white, 4 legs, posterior dorsal hairs",,Zercon sp.
Mesostigmata,Gamasina,my slide example has feathery setae,Zerconid sp. 1-Parazercon (radiatus),Zerconidae sp.2,sm setae fringe; 0 dorsal recesses (visible),,Parazercon sp.
Mesostigmata,Gamasina,,Parazercon sp. Imm,Zerconidae sp.2i (imm),3 legs = larva,may include juveniles of Zerconidae 1 or 1,Parazercon sp.
Mesostigmata,Gamasina,,Zerconid sp. 2-Zercon sp. (imm),Zerconidae sp.2a (imm),"white, 4 legs",may include juveniles of Zerconidae 1 or 2 (likely both; could not distinguish),Parazercon sp.
Mesostigmata,Gamasina,my slides have at least 2 different new morphotypes; Zo‘ probably lumped them as immature Parazercon,Parazercon sp. Imm,Zerconidae sp.2b,no fringe of setae,"serrate setae, with posterior fossae?  Similar to Parazercon?  Likely more than one species; slides have at least 2 different species.  Zo‘ ",Parazercon sp.
Mesostigmata,Gamasina,,Zerconid sp. 1-Parazercon (radiatus),Zerconidae sp.2c,long posterior setae (which implies Zercon sp.),"May not even be Zerconidae, but looks similar to ""Zerconidae 2a""",Parazercon sp.
Mesostigmata,:Dermanyssiae,,Large Vagaeid,Veigaiidae sp.,"lg, separate anal shield","2 adjacent dorsal shields, joined in middle",Veigaiidae sp.
Mesostigmata,:Dermanyssiae,,Large Vagaeid,Veigaiidae imm.,small white w/ pronounced 'shoulders',,Veigaiidae sp.
Mesostigmata,::Rhodacaroidea,Zo‘ might have flip-flopped between Veigaiidae & Gamasina (none of the slides are labelled as gamasina),Gamasina sp. 1,Ologamasidae,ventrianal shield,2 dorsal shields,Ologamasidae sp.
Mesostigmata,::Rhodacaroidea,,Gamasina sp. imm,Ologamasidae 1i (imm),small white w/ small 'shoulders',,Ologamasidae sp.
