ID,sp_alias,Major Taxa,Taxonomic Group,11A-4.O,11C-2.O,11C-4.O,11C-4.I,31A-4.O,31C-2.O,31C-4.O,31C-4.I,51A-4.O,51C-2.O,51C-4.O,51C-4.I,71A-4.O,71C-2.O,71C-4.O,71C-4.I,14A-1.O,14C-2.O,14C-4.O,14C-4.I,34A-1.O,34C-2.O,34C-4.O,34C-4.I,54A-1.O,54C-2.O,54C-4.O,54C-4.I,74A-1.O,74C-2.O,74C-4.O,74C-4.I
Block,,,,1,1,1,1,3,3,3,3,5,5,5,5,7,7,7,7,1,1,1,1,3,3,3,3,5,5,5,5,7,7,7,7
Time,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Chamber,,,,A,C,C,C,A,C,C,C,A,C,C,C,A,C,C,C,A,C,C,C,A,C,C,C,A,C,C,C,A,C,C,C
Frag,,,,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,1,2,4,4,1,2,4,4,1,2,4,4,1,2,4,4
Pos,,,,O,O,O,I,O,O,O,I,O,O,O,I,O,O,O,I,O,O,O,I,O,O,O,I,O,O,O,I,O,O,O,I
ZL,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palaeacarus hystricinus,,Oribatida,Oribatida,9,3,8,1,0,0,0,0,3,0,0,25,5,0,0,4,0,0,0,2,0,0,0,3,16,0,0,10,3,0,0,3
Eniochthonius crosbyi,,Oribatida,Oribatida,42,74,80,45,174,0,0,75,138,0,1,54,87,0,0,10,101,0,0,28,11,3,0,6,111,6,0,26,18,56,0,92
Eobrachychthonius latior,,Oribatida,Oribatida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0
Liochthonius brevis,,Oribatida,Oribatida,7,8,4,1,691,1,0,43,50,0,0,34,73,4,2,13,73,2,0,11,0,0,2,25,0,0,0,0,0,0,0,0
Liochthonius sellnicki,,Oribatida,Oribatida,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,101,17,24,3,20
Sellnickochthonius zelawaiensis,,Oribatida,Oribatida,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phthiracarus boresetosus,,Oribatida,Oribatida,0,24,9,15,3,0,0,0,13,0,0,1,5,0,1,13,3,0,0,5,0,0,0,11,6,0,0,7,0,18,0,13
Euphthiracarus (flavus/fulvus),,Oribatida,Oribatida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Rhysotritia ardua,,Oribatida,Oribatida,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heminothrus longisetosus,,Oribatida,Oribatida,0,2,5,8,0,0,0,1,39,0,0,7,2,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,36,0,0,0
Neonothrus sp.,,Oribatida,Oribatida,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camisia biurus,,Oribatida,Oribatida,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Camisia nr laponnica,,Oribatida,Oribatida,16,446,669,212,6,0,1,18,0,1,0,3,2,0,0,11,1,0,0,3,1,0,0,18,0,0,0,0,0,2,0,3
Platynothrus peltifer,,Oribatida,Oribatida,0,4,4,14,4,0,0,1,2,0,0,0,0,0,0,0,2,0,0,3,37,0,0,0,0,0,0,0,1,0,0,0
Nanhermannia sp.,,Oribatida,Oribatida,0,74,47,62,40,0,0,175,93,0,0,50,0,0,0,167,18,0,0,44,0,0,0,0,171,0,0,272,2,0,0,0
Gymnodamaeus,,Oribatida,Oribatida,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epidamaeus nr fortispinosus,,Oribatida,Oribatida,0,0,10,2,0,0,0,0,1,1,0,12,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Eupterotegeaus sp.,,Oribatida,Oribatida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cepheus corae,,Oribatida,Oribatida,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hafenferrefia sp. ,,Oribatida,Oribatida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Eueremaeus marshalli ,,Oribatida,Oribatida,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Eueremaeus nahani,,Oribatida,Oribatida,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adoristes sp.,,Oribatida,Oribatida,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Ceratoppia q.arctica ,,Oribatida,Oribatida,0,0,0,0,0,0,0,3,9,0,0,0,11,0,0,0,3,0,0,4,0,3,0,0,0,1,0,2,0,5,0,0
Cultroribula sp.,,Oribatida,Oribatida,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carabodes labyrinthicus,,Oribatida,Oribatida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Carabodes wontalancetanus,,Oribatida,Oribatida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tectocepheus velatus,,Oribatida,Oribatida,205,53,24,8,288,9,1,301,338,1,1,119,63,1,6,158,80,1,1,89,29,8,3,148,300,4,0,381,85,42,4,252
Moritzoppia sp.,,Oribatida,Oribatida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
Oppiella nova,,Oribatida,Oribatida,44,35,34,22,120,0,0,37,67,0,0,93,63,0,0,8,66,1,0,136,0,0,0,43,101,1,1,96,28,108,1,58
Dissorhina sp,,Oribatida,Oribatida,8,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,2,13,0,2
Ramusella (Inscuptoppia) sp.,,Oribatida,Oribatida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Quadroppia quadricarinata,,Oribatida,Oribatida,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Suctobelbella longicuspis,,Oribatida,Oribatida,13,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suctobelbella sp. 1,,Oribatida,Oribatida,38,137,344,39,21,0,12,6,67,0,0,29,29,5,0,10,104,9,0,49,2,1,1,44,62,5,0,198,76,15,1,29
Suctobelbella sp. 2,,Oribatida,Oribatida,0,2,15,4,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0
Suctobelbella sp. 3,,Oribatida,Oribatida,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autogneta longilamellate,,Oribatida,Oribatida,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banksinoma lanceolata canadensis,,Oribatida,Oribatida,7,0,0,4,0,0,0,0,0,0,0,2,0,0,0,1,13,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2
Phauloppia sp.1,,Oribatida,Oribatida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Scheloribates sp. (pallidulus),,Oribatida,Oribatida,0,1,0,0,3,0,1,2,23,0,0,6,1,0,0,0,10,0,0,0,0,12,0,0,3,0,0,0,2,1,0,0
Scutozetes sp.,,Oribatida,Oribatida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Protoribates sp.,,Oribatida,Oribatida,5,2,0,2,1,0,0,0,0,0,0,9,1,0,0,2,10,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0
Diapterobates humeralis,,Oribatida,Oribatida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Neogymnobates luteus,,Oribatida,Oribatida,0,10,5,0,6,4,0,11,10,14,18,51,42,0,0,1,24,1,4,5,0,7,0,0,27,7,5,6,1,21,0,0
Mycobates incurvatus,,Oribatida,Oribatida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycobates conitus,,Oribatida,Oribatida,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Astigmata sp 1,,Oribatida,Oribatida,30,15,44,34,13,0,0,55,183,0,1,46,52,3,0,22,93,0,0,19,17,0,0,51,39,4,0,20,8,12,1,11
