ID,sp_alias,Major Taxa,Taxanomic Group,14A-1.O,14A-1.I,14A-2.O,14A-2.I,14A-4.O,14A-4.O1,14A-4.O2,14A-4.I,14C-1.O,14C-1.I,14C-2.O,14C-2.I,14C-4.O,14C-4.I,34A-1.O,34A-1.I,34A-2.O,34A-2.I,34A-4.O,34A-4.I,34C-1.O,34C-1.I,34C-2.O,34C-2.I,34C-4.O,34C-4.I,54A-1.O,54A-1.I,54A-2.O,54A-2.I,54A-4.O,54A-4.I,54C-1.O,54C-1.I,54C-2.O,54C-2.I,54C-4.O,54C-4.I,74A-1.O,74A-1.I,74A-2.O,74A-2.I,74A-4.O,74A-4.I,74C-1.O,74C-1.I,74C-2.O,74C-2.I,74C-4.O,74C-4.I,12A-1.O,12A-1.I,12A-2.O,12A-2.I,12A-4.O,12A-4.I,12C-1.O,12C-1.I,12C-2.O,12C-2.I,12C-4.O,12C-4.I,32C-1.O,32C-1.I
Block,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,3,3
Time,,,,4,4,4,4,4,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Chamber,,,,A,A,A,A,A,,,A,C,C,C,C,C,C,A,A,A,A,A,A,C,C,C,C,C,C,A,A,A,A,A,A,C,C,C,C,C,C,A,A,A,A,A,A,C,C,C,C,C,C,A,A,A,A,A,A,C,C,C,C,C,C,C,C
Frag,,,,1,1,2,2,4,,,4,1,1,2,2,4,4,1,1,2,2,4,4,1,1,2,2,4,4,1,1,2,2,4,4,1,1,2,2,4,4,1,1,2,2,4,4,1,1,2,2,4,4,1,1,2,2,4,4,1,1,2,2,4,4,1,1
Pos,,,,O,I,O,I,O,,,I,O,I,O,I,O,I,O,I,O,I,O,I,O,I,O,I,O,I,O,I,O,I,O,I,O,I,O,I,O,I,O,I,O,I,O,I,O,I,O,I,O,I,O,I,O,I,O,I,O,I,O,I,O,I,O,I
ZL,,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Comments,,,,,Seems like this sample has already been picked through by Zoe - less individuals & spp. than expected?  Suspiciously depauperate,,,***** Use these values: composite of original and redo,,,,Onychiuridae sp.1 x1 & sp.2 x2 on slide,,messy with debris,,messy with debris; Zerconidae molt,,Suspiciously depauperate,Suspiciously depauperate,"Isotomidae 3a is the same as in Block 7 (long head, short furc., no posterior spines)",,,,label swapped with 34C-1.I?,label swapped with 34C-1.O?,Many sm prostigs + Nanorchestes,Tomoceridae = Entomobryidae 4?,Many sm prostigs + Nanorchestes,,,,,sm spiders actually small: legs curled under,,Uropodoidea 3: pink (juvis?),,1 pink Uropodoidea 3 (=>3a),1 Laelapidae 2 is a molt; Isotomids faded yellow in colour,1 Laelapidae 2 is a molt,,Some Neelidae look similar to Sminthuridae 4a & vice versa,Used wider Bogorov tray - fewer individuals?  Where some hidden along edges that I missed?,Uropodoidea 3 are both pink immatures.,Nice Tomocedirae for slide-mounting (currently too low on Hoyer's),1 Zerconidae 2a uncertain (decided to re-name 2c),,,1 Hypogastruridae 1a: big & opaque brown; Dithinzerconidae pink (ID uncertain); 1 HUGE brown insect larva (caterpillar?),,"""beetle"" = some sort of insect (no wings), lg dk brown, almost Collembola-shaped body (but no furcula, and with compound eyes).","Isotomidae 3a from here looks slightly different than earlier Isotomidae 3a slide (PAO not obvious, post spines absent?); Dithinzerconidae 4 all pink (Uropodina 1??)",,,,,,,,"Isotomidae 3 md * plump (no visible furc.); some Isotomidae 1 sm cloudy white w/o eyes, but short furc. (sp. 5a?)",,missing,Isotomidae 1 without eyes?  1 sm Isotomidae 3b,1 Sminthuridae 1 dk brown / green,,,"1 mystery white, round, smooth, heavily sclerotized mesostig (Uropodoidea 3a? Or strange imm. Ologamasidae?)","some Isotomidae 3a md, plump (no visible furc.); insect larva giant & brown"
Uropodina sp.1,Uropodina sp.1,  Uropodina,Mesostigmata,8,1,75,5,12,,,12,39,52,0,3,0,4,0,1,7,7,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,11,10,15,32,10,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Uropodina sp.1i (imm),Uropodina sp.1,  Uropodina,Mesostigmata,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uropodina sp.1a (imm),Uropodina sp.1,  Uropodina,Mesostigmata,1,0,0,0,43,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
