,Time,Chamber,Frag,Position,Sejina_sp.,Uropodina_sp.1,Uropodina_sp.2,Pergamascus_sp.,Uropodina_spp.3,Zercon_sp.,Parazercon_sp.,Veigaiidae_sp.,Ologamasidae_sp.,Laelapidae_sp.1,Laelapidae_sp.2,Laelapidae_sp.3,Laelapidae_sp.4,Hypogastruridae_sp.1,Hypogastruridae_sp.2,Onychiuridae_sp.,Tomoceridae_sp.,Folsomia_penicula,Isotomidae_sp.3,Metisotoma_grandiceps,Isotomidae_sp.5,Isotomidae_sp.4,Isotoma_notabilis,Entomobryidae_sp.1,Entomobryidae_sp.2,Entomobryidae_sp.3,Neelidae_spp.,Sminthuridae_sp.1,Sminthuridae_sp.2,Sminthuridae_sp.3
1,24 months,Ambient,Continuous,Inner,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1
2,24 months,Full Chamber,Continuous,Inner,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1
3,24 months,Ambient,Full Corridors,Inner,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1
4,24 months,Full Chamber,Full Corridors,Inner,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1
5,24 months,Ambient,Isolated,Inner,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1
6,24 months,Full Chamber,Isolated,Inner,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1
7,24 months,Ambient,Continuous,Outer,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1
8,24 months,Full Chamber,Continuous,Outer,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1
9,24 months,Ambient,Full Corridors,Outer,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1
10,24 months,Full Chamber,Full Corridors,Outer,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0
11,24 months,Ambient,Isolated,Outer,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1
12,24 months,Full Chamber,Isolated,Outer,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1
