"SampleID","Block","Time","Chamber","Frag","Pos","xE","yN","mg.cm"
"13A-1.O","1","3","A","1","O",642177.924981669,6074263.66062104,3.33004262754579
"13A-1.I","1","3","A","1","I",642177.836593321,6074263.57223269,3.33007527641481
"13A-1.N","1","3","A","1","N",642177.836593321,6074263.66062104,3.33005417687084
"13A-1.E","1","3","A","1","E",642177.924981669,6074263.57223269,3.33006385333668
"13A-2.O","1","3","A","2","O",642177.318287495,6074263.72892686,3.33011148237131
"13A-2.I","1","3","A","2","I",642177.543287495,6074263.50392686,3.33013086141778
"13A-2.N","1","3","A","2","N",642177.543287495,6074263.72892686,3.33007830801115
"13A-2.W","1","3","A","2","W",642177.318287495,6074263.50392686,3.33016305032660
"13A-3.O","1","3","A","3","O",642177.318287495,6074263.05392686,3.33026139104702
"13A-3.I","1","3","A","3","I",642177.543287495,6074263.27892686,3.33018174816719
"13A-3.S","1","3","A","3","S",642177.543287495,6074263.05392686,3.3302310461607
"13A-3.W","1","3","A","3","W",642177.318287495,6074263.27892686,3.33021299474136
"13A-4.O","1","3","A","4","O",642177.993287495,6074263.05392686,3.33017491766526
"13A-4.I","1","3","A","4","I",642177.768287495,6074263.27892686,3.33015208340289
"13A-4.S","1","3","A","4","S",642177.768287495,6074263.05392686,3.3302022103787
"13A-4.E","1","3","A","4","E",642177.993287495,6074263.27892686,3.33012403635249
"13C-1.O","1","3","C","1","O",642178.633379848,6074265.5049858,3.4459610628534
"13C-1.I","1","3","C","1","I",642178.721768196,6074265.41659745,3.56095013824483
"13C-1.N","1","3","C","1","N",642178.721768196,6074265.5049858,3.32712406859732
"13C-1.W","1","3","C","1","W",642178.633379848,6074265.41659745,3.32717471119687
"13C-2.O","1","3","C","2","O",642179.240074022,6074265.57329162,3.44788428213530
"13C-2.I","1","3","C","2","I",642179.015074022,6074265.34829162,3.56061464490154
"13C-2.N","1","3","C","2","N",642179.015074022,6074265.57329162,3.23612396037367
"13C-2.E","1","3","C","2","E",642179.240074022,6074265.34829162,3.23600179267474
