"SampleID","Block","Time","Chamber","Frag","Pos","ARA.dwt","Cells.dwt","Nostoc","Nostoc.H","Stigonema","Stigonema.H","Other.cells","Cells","H.cells","ARA","ARA.m","Position","Nfix","ARA.g"
"11A-1.O","1","1","A","1","O",260.4,30.1,0,0,40,2,2,775193.798449612,36913.9904023625,0.00432694902218757,360.579085182298,"O",0.00144231634072919,1.66165477042533e-05
"11A-1.I","1","1","A","1","I",387.5,49.7,11,3,300,25,3,3509948.58037112,312989.045383412,0.00257906143001007,214.921785834173,"I",0.00085968714333669,6.65564240002599e-06
"11A-1.S","1","1","A","1","S",294.8,23,25,5,56,8,0,1956521.73913043,314009.661835749,0.000363561430010071,30.2967858341725,"S",0.000121187143336690,1.23324772730689e-06
"11A-1.E","1","1","A","1","E",443.3,40.8,134,1,452,5,0,7979302.83224401,81699.3464052287,0.0111955614300101,932.96345250084,"E",0.00373185381000336,2.52550449582903e-05
"11A-2.O","1","1","A","2","O",404.4,47.6,0,0,0,0,3,5782.12936550767,0,0.00167,139.166666666667,"O",0.000556666666666667,4.1295746785361e-06
"11A-2.I","1","1","A","2","I",392.6,46.7,3,1,9,0,11,273614.085177254,11896.2645729241,0.002752,229.333333333333,"I",0.000917333333333333,7.0096790626592e-06
"11A-2.S","1","1","A","2","S",440.5,51.5,0,0,12,1,3,161812.297734628,10787.4865156419,0.000191,15.9166666666667,"S",6.36666666666667e-05,4.33598183881952e-07
"11A-2.W","1","1","A","2","W",312,48.1,14,2,23,3,0,427350.427350427,57750.0577500577,-0.000142,-11.8333333333333,"W",-4.73333333333333e-05,-4.55128205128205e-07
"11A-3.O","1","1","A","3","O",488.8,52.6,0,0,22,2,2,41859.9783723445,3488.33153102871,-4.3e-05,-3.58333333333333,"O",-1.43333333333333e-05,-8.79705400981997e-08
"11A-3.I","1","1","A","3","I",369.6,59.4,0,0,106,8,5,1038159.37149270,74822.2970445193,0.002984,248.666666666667,"I",0.000994666666666666,8.07359307359307e-06
"11A-3.N","1","1","A","3","N",468.7,52,20,2,84,7,8,1196581.19658120,96153.8461538462,0.0009575,79.7916666666667,"N",0.000319166666666667,2.0428845743546e-06
"11A-3.W","1","1","A","3","W",281.8,29.4,19,4,56,6,1,129251.700680272,17006.8027210884,0.0001655,13.7916666666667,"W",5.51666666666667e-05,5.87295954577715e-07
"11A-4.O","1","1","A","4","O",399.2,26.2,0,0,34,3,0,119055.956299461,10504.9373205407,0.000644938569989930,53.7448808324941,"O",0.000214979523329977,1.61557758013509e-06
"11A-4.I","1","1","A","4","I",223.8,35.9,24,3,13,1,6,665428.659857629,61900.3404518725,0.000610938569989929,50.9115474991608,"I",0.000203646189996643,2.72984168896304e-06
"11A-4.N","1","1","A","4","N",450.1,32.8,0,0,0,0,0,0,0,0.000319938569989929,26.6615474991608,"N",0.000106646189996643,7.10816640724127e-07
"11A-4.E","1","1","A","4","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000239938569989929,19.9948808324941,"E",7.99795233299765e-05,NA
"11B-1.O","1","1","B","1","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000186657603222558,-15.5548002685465,"O",-6.2219201074186e-05,NA
"11B-1.I","1","1","B","1","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00317934239677744,264.945199731454,"I",0.00105978079892581,NA
"11B-1.S","1","1","B","1","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00174434239677744,145.36186639812,"S",0.00058144746559248,NA
"11B-1.W","1","1","B","1","W",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000126342396777442,10.5285330647868,"W",4.21141322591474e-05,NA
"11B-2.O","1","1","B","2","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000159657603222558,-13.3048002685465,"O",-5.3219201074186e-05,NA
"11B-2.I","1","1","B","2","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000158657603222558,-13.2214669352132,"I",-5.28858677408526e-05,NA
"11B-2.S","1","1","B","2","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.71576032225579e-05,-4.76313360187982,"S",-1.90525344075193e-05,NA
