"SampleID","Block","Time","Chamber","Frag","Pos"
"11A-1.O","1","1","A","1","O"
"11A-1.I","1","1","A","1","I"
"11A-1.S","1","1","A","1","S"
"11A-1.E","1","1","A","1","E"
"11A-2.O","1","1","A","2","O"
"11A-2.I","1","1","A","2","I"
"11A-2.S","1","1","A","2","S"
"11A-2.W","1","1","A","2","W"
"11A-3.O","1","1","A","3","O"
"11A-3.I","1","1","A","3","I"
"11A-3.N","1","1","A","3","N"
"11A-3.W","1","1","A","3","W"
"11A-4.O","1","1","A","4","O"
"11A-4.I","1","1","A","4","I"
"11A-4.N","1","1","A","4","N"
"11A-4.E","1","1","A","4","E"
"11B-1.O","1","1","B","1","O"
"11B-1.I","1","1","B","1","I"
"11B-1.S","1","1","B","1","S"
"11B-1.W","1","1","B","1","W"
"11B-2.O","1","1","B","2","O"
"11B-2.I","1","1","B","2","I"
"11B-2.S","1","1","B","2","S"
"11B-2.E","1","1","B","2","E"
"11B-3.O","1","1","B","3","O"
"11B-3.I","1","1","B","3","I"
"11B-3.N","1","1","B","3","N"
"11B-3.W","1","1","B","3","W"
"11B-4.O","1","1","B","4","O"
"11B-4.I","1","1","B","4","I"
"11B-4.N","1","1","B","4","N"
"11B-4.E","1","1","B","4","E"
"11C-1.O","1","1","C","1","O"
"11C-1.I","1","1","C","1","I"
"11C-1.N","1","1","C","1","N"
"11C-1.W","1","1","C","1","W"
"11C-2.O","1","1","C","2","O"
"11C-2.I","1","1","C","2","I"
"11C-2.S","1","1","C","2","S"
"11C-2.E","1","1","C","2","E"
"11C-3.O","1","1","C","3","O"
"11C-3.I","1","1","C","3","I"
"11C-3.N","1","1","C","3","N"
"11C-3.E","1","1","C","3","E"
"11C-4.O","1","1","C","4","O"
"11C-4.I","1","1","C","4","I"
"11C-4.S","1","1","C","4","S"
"11C-4.W","1","1","C","4","W"
"21A-1.O","2","1","A","1","O"
"21A-1.I","2","1","A","1","I"
"21A-1.S","2","1","A","1","S"
"21A-1.E","2","1","A","1","E"
"21A-2.O","2","1","A","2","O"
"21A-2.I","2","1","A","2","I"
"21A-2.N","2","1","A","2","N"
"21A-2.E","2","1","A","2","E"
"21A-3.O","2","1","A","3","O"
"21A-3.I","2","1","A","3","I"
"21A-3.N","2","1","A","3","N"
"21A-3.W","2","1","A","3","W"
"21A-4.O","2","1","A","4","O"
"21A-4.I","2","1","A","4","I"
"21A-4.S","2","1","A","4","S"
"21A-4.W","2","1","A","4","W"
"21B-1.O","2","1","B","1","O"
"21B-1.I","2","1","B","1","I"
"21B-1.S","2","1","B","1","S"
"21B-1.E","2","1","B","1","E"
"21B-2.O","2","1","B","2","O"
"21B-2.I","2","1","B","2","I"
"21B-2.N","2","1","B","2","N"
"21B-2.E","2","1","B","2","E"
"21B-3.O","2","1","B","3","O"
"21B-3.I","2","1","B","3","I"
"21B-3.S","2","1","B","3","S"
"21B-3.W","2","1","B","3","W"
"21B-4.O","2","1","B","4","O"
"21B-4.I","2","1","B","4","I"
"21B-4.N","2","1","B","4","N"
"21B-4.W","2","1","B","4","W"
"21C-1.O","2","1","C","1","O"
"21C-1.I","2","1","C","1","I"
"21C-1.N","2","1","C","1","N"
"21C-1.E","2","1","C","1","E"
"21C-2.O","2","1","C","2","O"
"21C-2.I","2","1","C","2","I"
"21C-2.S","2","1","C","2","S"
"21C-2.W","2","1","C","2","W"
"21C-3.O","2","1","C","3","O"
"21C-3.I","2","1","C","3","I"
"21C-3.N","2","1","C","3","N"
"21C-3.W","2","1","C","3","W"
"21C-4.O","2","1","C","4","O"
"21C-4.I","2","1","C","4","I"
"21C-4.S","2","1","C","4","S"
"21C-4.E","2","1","C","4","E"
"31A-1.O","3","1","A","1","O"
"31A-1.I","3","1","A","1","I"
"31A-1.N","3","1","A","1","N"
"31A-1.W","3","1","A","1","W"
"31A-2.O","3","1","A","2","O"
"31A-2.I","3","1","A","2","I"
"31A-2.N","3","1","A","2","N"
"31A-2.E","3","1","A","2","E"
"31A-3.O","3","1","A","3","O"
"31A-3.I","3","1","A","3","I"
"31A-3.S","3","1","A","3","S"
"31A-3.W","3","1","A","3","W"
"31A-4.O","3","1","A","4","O"
"31A-4.I","3","1","A","4","I"
"31A-4.S","3","1","A","4","S"
"31A-4.E","3","1","A","4","E"
"31B-1.O","3","1","B","1","O"
"31B-1.I","3","1","B","1","I"
"31B-1.N","3","1","B","1","N"
"31B-1.E","3","1","B","1","E"
"31B-2.O","3","1","B","2","O"
"31B-2.I","3","1","B","2","I"
"31B-2.S","3","1","B","2","S"
"31B-2.W","3","1","B","2","W"
"31B-3.O","3","1","B","3","O"
"31B-3.I","3","1","B","3","I"
"31B-3.S","3","1","B","3","S"
"31B-3.E","3","1","B","3","E"
"31B-4.O","3","1","B","4","O"
"31B-4.I","3","1","B","4","I"
"31B-4.N","3","1","B","4","N"
"31B-4.W","3","1","B","4","W"
"31C-1.O","3","1","C","1","O"
"31C-1.I","3","1","C","1","I"
"31C-1.S","3","1","C","1","S"
"31C-1.E","3","1","C","1","E"
"31C-2.O","3","1","C","2","O"
"31C-2.I","3","1","C","2","I"
"31C-2.N","3","1","C","2","N"
"31C-2.E","3","1","C","2","E"
"31C-3.O","3","1","C","3","O"
"31C-3.I","3","1","C","3","I"
"31C-3.N","3","1","C","3","N"
"31C-3.W","3","1","C","3","W"
"31C-4.O","3","1","C","4","O"
"31C-4.I","3","1","C","4","I"
"31C-4.S","3","1","C","4","S"
"31C-4.W","3","1","C","4","W"
"41A-1.O","4","1","A","1","O"
"41A-1.I","4","1","A","1","I"
"41A-1.S","4","1","A","1","S"
"41A-1.E","4","1","A","1","E"
"41A-2.O","4","1","A","2","O"
"41A-2.I","4","1","A","2","I"
"41A-2.N","4","1","A","2","N"
"41A-2.E","4","1","A","2","E"
"41A-3.O","4","1","A","3","O"
"41A-3.I","4","1","A","3","I"
"41A-3.S","4","1","A","3","S"
"41A-3.W","4","1","A","3","W"
"41A-4.O","4","1","A","4","O"
"41A-4.I","4","1","A","4","I"
"41A-4.N","4","1","A","4","N"
"41A-4.W","4","1","A","4","W"
"41B-1.O","4","1","B","1","O"
"41B-1.I","4","1","B","1","I"
"41B-1.N","4","1","B","1","N"
"41B-1.E","4","1","B","1","E"
"41B-2.O","4","1","B","2","O"
"41B-2.I","4","1","B","2","I"
"41B-2.S","4","1","B","2","S"
"41B-2.W","4","1","B","2","W"
"41B-3.O","4","1","B","3","O"
"41B-3.I","4","1","B","3","I"
"41B-3.N","4","1","B","3","N"
"41B-3.W","4","1","B","3","W"
"41B-4.O","4","1","B","4","O"
"41B-4.I","4","1","B","4","I"
"41B-4.S","4","1","B","4","S"
"41B-4.E","4","1","B","4","E"
"41C-1.O","4","1","C","1","O"
"41C-1.I","4","1","C","1","I"
"41C-1.S","4","1","C","1","S"
"41C-1.E","4","1","C","1","E"
"41C-2.O","4","1","C","2","O"
"41C-2.I","4","1","C","2","I"
"41C-2.N","4","1","C","2","N"
"41C-2.E","4","1","C","2","E"
"41C-3.O","4","1","C","3","O"
"41C-3.I","4","1","C","3","I"
"41C-3.N","4","1","C","3","N"
"41C-3.W","4","1","C","3","W"
"41C-4.O","4","1","C","4","O"
"41C-4.I","4","1","C","4","I"
"41C-4.S","4","1","C","4","S"
"41C-4.W","4","1","C","4","W"
"51A-1.O","5","1","A","1","O"
"51A-1.I","5","1","A","1","I"
"51A-1.S","5","1","A","1","S"
"51A-1.W","5","1","A","1","W"
"51A-2.O","5","1","A","2","O"
"51A-2.I","5","1","A","2","I"
"51A-2.S","5","1","A","2","S"
"51A-2.E","5","1","A","2","E"
"51A-3.O","5","1","A","3","O"
"51A-3.I","5","1","A","3","I"
"51A-3.N","5","1","A","3","N"
"51A-3.E","5","1","A","3","E"
"51A-4.O","5","1","A","4","O"
"51A-4.I","5","1","A","4","I"
"51A-4.N","5","1","A","4","N"
"51A-4.W","5","1","A","4","W"
"51B-1.O","5","1","B","1","O"
"51B-1.I","5","1","B","1","I"
"51B-1.N","5","1","B","1","N"
"51B-1.W","5","1","B","1","W"
"51B-2.O","5","1","B","2","O"
"51B-2.I","5","1","B","2","I"
"51B-2.N","5","1","B","2","N"
"51B-2.E","5","1","B","2","E"
"51B-3.O","5","1","B","3","O"
"51B-3.I","5","1","B","3","I"
"51B-3.S","5","1","B","3","S"
"51B-3.E","5","1","B","3","E"
"51B-4.O","5","1","B","4","O"
"51B-4.I","5","1","B","4","I"
"51B-4.S","5","1","B","4","S"
"51B-4.W","5","1","B","4","W"
"51C-1.O","5","1","C","1","O"
"51C-1.I","5","1","C","1","I"
"51C-1.S","5","1","C","1","S"
"51C-1.E","5","1","C","1","E"
"51C-2.O","5","1","C","2","O"
"51C-2.I","5","1","C","2","I"
"51C-2.N","5","1","C","2","N"
"51C-2.E","5","1","C","2","E"
"51C-3.O","5","1","C","3","O"
"51C-3.I","5","1","C","3","I"
"51C-3.S","5","1","C","3","S"
"51C-3.W","5","1","C","3","W"
"51C-4.O","5","1","C","4","O"
"51C-4.I","5","1","C","4","I"
"51C-4.N","5","1","C","4","N"
"51C-4.W","5","1","C","4","W"
"61A-1.O","6","1","A","1","O"
"61A-1.I","6","1","A","1","I"
"61A-1.S","6","1","A","1","S"
"61A-1.W","6","1","A","1","W"
"61A-2.O","6","1","A","2","O"
"61A-2.I","6","1","A","2","I"
"61A-2.S","6","1","A","2","S"
"61A-2.E","6","1","A","2","E"
"61A-3.O","6","1","A","3","O"
"61A-3.I","6","1","A","3","I"
"61A-3.N","6","1","A","3","N"
"61A-3.W","6","1","A","3","W"
"61A-4.O","6","1","A","4","O"
"61A-4.I","6","1","A","4","I"
"61A-4.N","6","1","A","4","N"
"61A-4.E","6","1","A","4","E"
"61B-1.O","6","1","B","1","O"
"61B-1.I","6","1","B","1","I"
"61B-1.N","6","1","B","1","N"
"61B-1.E","6","1","B","1","E"
"61B-2.O","6","1","B","2","O"
"61B-2.I","6","1","B","2","I"
"61B-2.S","6","1","B","2","S"
"61B-2.E","6","1","B","2","E"
"61B-3.O","6","1","B","3","O"
"61B-3.I","6","1","B","3","I"
"61B-3.N","6","1","B","3","N"
"61B-3.W","6","1","B","3","W"
"61B-4.O","6","1","B","4","O"
"61B-4.I","6","1","B","4","I"
"61B-4.S","6","1","B","4","S"
"61B-4.W","6","1","B","4","W"
"61C-1.O","6","1","C","1","O"
"61C-1.I","6","1","C","1","I"
"61C-1.S","6","1","C","1","S"
"61C-1.W","6","1","C","1","W"
"61C-2.O","6","1","C","2","O"
"61C-2.I","6","1","C","2","I"
"61C-2.N","6","1","C","2","N"
"61C-2.W","6","1","C","2","W"
"61C-3.O","6","1","C","3","O"
"61C-3.I","6","1","C","3","I"
"61C-3.S","6","1","C","3","S"
"61C-3.E","6","1","C","3","E"
"61C-4.O","6","1","C","4","O"
"61C-4.I","6","1","C","4","I"
"61C-4.N","6","1","C","4","N"
"61C-4.E","6","1","C","4","E"
"71A-1.O","7","1","A","1","O"
"71A-1.I","7","1","A","1","I"
"71A-1.S","7","1","A","1","S"
"71A-1.E","7","1","A","1","E"
"71A-2.O","7","1","A","2","O"
"71A-2.I","7","1","A","2","I"
"71A-2.N","7","1","A","2","N"
"71A-2.E","7","1","A","2","E"
"71A-3.O","7","1","A","3","O"
"71A-3.I","7","1","A","3","I"
"71A-3.S","7","1","A","3","S"
"71A-3.W","7","1","A","3","W"
"71A-4.O","7","1","A","4","O"
"71A-4.I","7","1","A","4","I"
"71A-4.N","7","1","A","4","N"
"71A-4.W","7","1","A","4","W"
"71B-1.O","7","1","B","1","O"
"71B-1.I","7","1","B","1","I"
"71B-1.S","7","1","B","1","S"
"71B-1.E","7","1","B","1","E"
"71B-2.O","7","1","B","2","O"
"71B-2.I","7","1","B","2","I"
"71B-2.N","7","1","B","2","N"
"71B-2.W","7","1","B","2","W"
"71B-3.O","7","1","B","3","O"
