"SampleID","Block","Time","Chamber","Frag","Pos","ARA.dwt","Cells.dwt","Nostoc","Nostoc.H","Stigonema","Stigonema.H","Other.cells","Cells","Cells.g","Cells.m","Hcells","Hcells.g","Hcells.m","ARA.ml","ARA.m","H2O","H2O.wwt","Position","Nfix","ARA.g"
"11A-1.O","1","1","A","1","O",260.4,30.1,0,0,20,1,1,11666.6666666667,775193.798449612,336434108.527132,555.555555555556,36913.9904023625,16020671.8346253,0.00432694902218757,360.579085182298,6.96510359869138,0.874452354874042,"O",120.193028394099,1.66165477042533e-05
"11A-1.I","1","1","A","1","I",387.5,49.7,5.5,1.5,150,12.5,1.5,87222.2222222222,3509948.58037112,2266841791.48968,7777.77777777778,312989.045383412,202138758.476787,0.00257906143001007,214.921785834173,7.17494894486045,0.877675077025564,"I",71.6405952780575,6.65564240002599e-06
"11A-1.S","1","1","A","1","S",294.8,23,12.5,2.5,28,4,0,22500,1956521.73913043,961304347.826087,3611.11111111111,314009.661835749,154283413.848631,0.000363561430010071,30.2967858341725,7.10514414923686,0.876621565071837,"S",10.0989286113908,1.23324772730689e-06
"11A-1.E","1","1","A","1","E",443.3,40.8,67,0.5,226,2.5,0,162777.777777778,7979302.83224401,5895374909.22295,1666.66666666667,81699.3464052288,60362200.4357299,0.0111955614300101,932.96345250084,6.70172173103769,0.87015890278533,"E",310.98781750028,2.52550449582903e-05
"11A-2.O","1","1","A","2","O",404.4,47.6,0,0,0,0,1.5,580.555555555556,24393.0905695612,16440943.0438842,0,0,0,0.00167,139.166666666667,3.93808411214953,0.797492311331914,"O",46.3888888888889,4.1295746785361e-06
"11A-2.I","1","1","A","2","I",392.6,46.7,1.5,0.5,4.5,0,5.5,6388.88888888889,273614.085177254,179034816.400983,277.777777777778,11896.2645729241,7784122.45221667,0.002752,229.333333333333,4.81485714285714,0.828026729559748,"I",76.4444444444444,7.0096790626592e-06
"11A-2.S","1","1","A","2","S",440.5,51.5,0,0,6,0.5,1.5,4166.66666666667,161812.297734628,118797195.253506,277.777777777778,10787.4865156419,7919813.0169004,0.000191,15.9166666666667,4.34467120181405,0.812897751378871,"S",5.30555555555556,4.33598183881952e-07
"11A-2.W","1","1","A","2","W",312,48.1,7,1,11.5,1.5,0,10277.7777777778,427350.427350427,222222222.222222,1388.88888888889,57750.0577500577,30030030.03003,-0.000142,-11.8333333333333,4.72732240437158,0.825398339853067,"W",-3.94444444444444,-4.55128205128205e-07
"11A-3.O","1","1","A","3","O",488.8,52.6,0,0,11,1,1,3380.55555555556,128538.234051542,104715814.673990,302.777777777778,11512.4630333756,9378819.8845233,-4.3e-05,-3.58333333333333,3.8,0.791666666666667,"O",-1.19444444444444,-8.79705400981997e-08
"11A-3.I","1","1","A","3","I",369.6,59.4,0,0,53,4,2.5,30833.3333333333,1038159.37149270,639506172.839506,2222.22222222222,74822.2970445193,46090534.9794239,0.002984,248.666666666667,4.5788798631894,0.820752548087976,"I",82.8888888888889,8.07359307359307e-06
"11A-3.N","1","1","A","3","N",468.7,52,10,1,42,3.5,4,31111.1111111111,1196581.19658120,934729344.729345,2500,96153.8461538462,75112179.4871795,0.0009575,79.7916666666667,4.1652688702516,0.80639923591213,"N",26.5972222222222,2.0428845743546e-06
"11A-3.W","1","1","A","3","W",281.8,29.4,9.5,2,28,3,0.5,1900,129251.700680272,60705215.4195012,250,17006.8027210884,7987528.3446712,0.0001655,13.7916666666667,3.66619519094766,0.785692634131555,"W",4.59722222222222,5.87295954577715e-07
"11A-4.O","1","1","A","4","O",399.2,26.2,0,0,17,1.5,0,3377.77777777778,257845.631891433,171553293.751767,327.777777777778,25021.2044105174,16647441.3344642,0.000644938569989930,53.7448808324941,4.99087947882736,0.833079599826011,"O",17.9149602774980,1.61557758013509e-06
"11A-4.I","1","1","A","4","I",223.8,35.9,12,1.5,6.5,0.5,3,11944.4444444444,665428.659857629,248204890.126896,1111.11111111111,61900.3404518725,23088826.9885484,0.000610938569989929,50.9115474991608,5.36898096304591,0.842989010989011,"I",16.9705158330536,2.72984168896304e-06
"11A-4.N","1","1","A","4","N",450.1,32.8,0,0,0,0,0,0,0,0,0,0,0,0.000319938569989929,26.6615474991608,4.80357142857143,0.827692307692308,"N",8.88718249972026,7.10816640724127e-07
"11A-4.E","1","1","A","4","E",256.2,34.8,5.5,0.5,4.5,0,1,6111.11111111111,351213.282247765,149968071.519796,277.777777777778,15964.2401021711,6816730.52362708,0.000239938569989929,19.9948808324941,4.07085987261146,0.802794787250746,"E",6.66496027749804,9.36528376229233e-07
"11B-1.O","1","1","B","1","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000186657603222558,-15.5548002685465,2.78997692054072,0.736146150500217,"O",-5.18493342284883,NA
"11B-1.I","1","1","B","1","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00317934239677744,264.945199731454,4.06108597285068,0.802413947250782,"I",88.3150665771512,NA
"11B-1.S","1","1","B","1","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00174434239677744,145.36186639812,4.62956204379562,0.822366288492707,"S",48.453955466040,NA
"11B-1.W","1","1","B","1","W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000126342396777442,10.5285330647868,3.34178321678322,0.769679887255889,"W",3.50951102159561,NA
"11B-2.O","1","1","B","2","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000159657603222558,-13.3048002685465,3.38031088082902,0.771705701443104,"O",-4.43493342284883,NA
"11B-2.I","1","1","B","2","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000158657603222558,-13.2214669352132,3.85242165242165,0.793917332080789,"I",-4.40715564507105,NA
"11B-2.S","1","1","B","2","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.71576032225579e-05,-4.76313360187982,3.71884057971013,0.788083538083538,"S",-1.58771120062661,NA
"11B-2.E","1","1","B","2","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000157157603222558,-13.0964669352132,3.2808734939759,0.766402814423923,"E",-4.36548897840439,NA
"11B-3.O","1","1","B","3","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000247718529707956,-20.6432108089963,2.23675496688742,0.691048593350383,"O",-6.88107026966544,NA
"11B-3.I","1","1","B","3","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000105718529707956,-8.80987747566297,3.25107692307692,0.764765489287782,"I",-2.93662582522099,NA
"11B-3.N","1","1","B","3","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000151218529707956,-12.6015441423296,2.67921348314607,0.728202779050237,"N",-4.20051471410988,NA
"11B-3.W","1","1","B","3","W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000101218529707956,-8.43487747566298,2.60739324410452,0.722791519434629,"W",-2.81162582522099,NA
"11B-4.O","1","1","B","4","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000236718529707956,-19.7265441423296,2.84049440847557,0.739616858237548,"O",-6.57551471410988,NA
"11B-4.I","1","1","B","4","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000173718529707956,-14.4765441423296,3.09090909090909,0.755555555555556,"I",-4.82551471410988,NA
"11B-4.N","1","1","B","4","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000144718529707956,-12.0598774756630,5.25578406169666,0.84014793507294,"N",-4.01995915855433,NA
"11B-4.E","1","1","B","4","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000139718529707956,-11.6432108089963,3.01688102893891,0.751050630378227,"E",-3.88107026966544,NA
"11C-1.O","1","1","C","1","O",680.1,44.8,0,0,0,0,0,0,0,0,0,0,0,-0.000161122809159063,-13.4269007632552,0.140437544107267,0.123143564356434,"O",-4.47563358775175,-2.36910467812179e-07
"11C-1.I","1","1","C","1","I",703.7,52,0,0,102.5,5.5,0,56944.4444444444,2190170.94017094,2568705484.33048,3055.55555555556,117521.367521368,137832977.207977,-0.000165122809159063,-13.7602340965886,0.510168506682161,0.337822239322816,"I",-4.58674469886286,-2.34649437486234e-07
"11C-1.N","1","1","C","1","N",544.7,50.6,0,0,0,0,0,0,0,0,0,0,0,-0.000196622809159063,-16.3852340965886,0.148786717752234,0.129516397998888,"N",-5.46174469886286,-3.60974498180765e-07
"11C-1.W","1","1","C","1","W",721.1,68.5,6,0.5,19,2,0,13888.8888888889,405515.00405515,487361449.040281,1388.88888888889,40551.500405515,48736144.9040281,-0.000129622809159063,-10.8019007632552,0.641072516758073,0.390642406238395,"W",-3.60063358775175,-1.79757050560342e-07
"11C-2.O","1","1","C","2","O",608.2,50.8,5,1,10,0.5,1,1558.33333333333,61351.7060367454,62190179.3525809,75,2952.75590551181,2993110.23622047,-5.93293051359517e-05,-4.94410876132931,4.33740546829552,0.812643051771117,"O",-1.64803625377644,-9.75490054849583e-08
"11C-2.I","1","1","C","2","I",882.3,62.6,4,0,49,3,1,30000,958466.453674121,1409424920.12780,1666.66666666667,53248.136315229,78301384.4515442,0.00658830480026855,549.025400022379,4.35952380952381,0.813416259440249,"I",183.008466674126,7.46719347191267e-06
"11C-2.S","1","1","C","2","S",839.9,60.2,0,0,14,4,0,7777.77777777778,258397.932816537,361714039.621016,2222.22222222222,73827.980804725,103346868.463148,0.00523374032638581,436.145027198818,4.50805008944543,0.818447547905164,"S",145.381675732939,6.23138507725421e-06
"11C-2.E","1","1","C","2","E",563.7,46.3,2,0.5,39,6.5,0,11402.7777777778,492560.595152388,462760679.145669,1613.88888888889,69714.4228461723,65496700.2639789,0.00376674032638581,313.895027198818,2.21091445427729,0.688562241616904,"E",104.631675732939,6.68217194675503e-06
"11C-3.O","1","1","C","3","O",737.9,65.5,28,1,0,0,0,15555.5555555556,474978.795589483,584144755.442465,555.555555555556,16963.5284139101,20862312.6943738,-0.000162389728096677,-13.5324773413897,0.183866279069768,0.155310006138736,"O",-4.51082578046324,-2.20070101770805e-07
"11C-3.I","1","1","C","3","I",494.8,43.8,3,0.5,43,3.5,1,26111.1111111111,1192288.17858955,983240317.943514,2222.22222222222,101471.334348047,83680027.0590225,-5.03897280966767e-05,-4.1991440080564,0.508543531326282,0.337108953613808,"I",-1.39971466935213,-1.01838577398296e-07
"11C-3.N","1","1","C","3","N",516.9,63.6,10.5,1,239.5,22.5,2,140000,4402515.72327044,3792767295.59748,13055.5555555556,410552.061495458,353690600.978337,-0.000150890110515916,-12.5741758763264,0.134873323397914,0.118844386080105,"N",-4.19139195877545,-2.91913543269329e-07
"11C-3.E","1","1","C","3","E",463.6,48.9,0,0,0,0,0,0,0,0,0,0,0,-0.000185890110515916,-15.4908425429930,0.0987917555081745,0.0899094437257448,"E",-5.16361418099768,-4.00970902752192e-07
"11C-4.O","1","1","C","4","O",637,81.7,2,0,10.5,2.5,0,6944.44444444445,169998.64001088,180481889.478218,1388.88888888889,33999.728002176,36096377.8956435,0.000374549848942598,31.2124874118832,4.55322128851541,0.819924337957125,"O",10.4041624706277,5.87990343708945e-07
"11C-4.I","1","1","C","4","I",823.6,60.2,0,0,12.5,1.5,0,3152.77777777778,104743.447766704,143777839.301095,580.555555555556,19287.5599852344,26475390.6730651,0.0021235498489426,176.962487411883,4.45387205387206,0.816644030127176,"I",58.9874958039611,2.57837524155245e-06
"11C-4.S","1","1","C","4","S",957.4,83.5,2,0.5,17.5,2,0,10833.3333333333,259481.037924152,414045242.847638,1388.88888888889,33266.7997338656,53082723.4420049,0.0021495498489426,179.129154078550,4.77828054298643,0.826938136256852,"S",59.7097180261833,2.24519516288134e-06
