"SampleID","Block","Time","Chamber","Frag","Pos","ZL","Comments","Uropodina.sp.1","Uropodina.sp.1i","Uropodina.sp.1a","Uropodina.sp.2","Uropodina.sp.2i","Uropodoidea.sp.3","Uropodoidea.sp.3a","Dithinozerconidae.sp.4","Dithinozerconidae.sp.4i","Zerconidae.sp.1","Zerconidae.sp.1a","Zerconidae.sp.2","Zerconidae.sp.2i","Zerconidae.sp.2a","Zerconidae.sp.2b","Zerconidae.sp.2c","Veigaiidae.sp.","Veigaiidae.imm.","Ologamasidae","Ologamasidae.1i","Laelapidae.sp.1","Laelapidae.sp.2","Laelapidae.sp.3","Laelapidae.sp.3i","Bdellid.Prostig","Bdellid.Prostig.1a","other.lg.pred..Prostigs","other.sm.Prostigs","Hypogastruridae.sp.1","Hypogastruridae.sp.1a","Hypogastruridae.sp.1b","Hypogastruridae.sp.2","Onychiuridae.sp.1","Onychiuridae.sp.1a","Tomoceridae.sp.","Isotomidae.sp.1","Isotomidae.sp.1a","Isotomidae.sp.3","Isotomidae.sp.3a","Isotomidae.sp.3b","Isotomidae.sp.3c","Isotomidae.sp.4a","Isotomidae.sp.4b","Isotomidae.sp.4c","Isotomidae.sp.5","Isotomidae.sp.5a","Entomobryidae.sp.3","Entomobryidae.sp.4","Neelidae.spp.","Sminthuridae.sp.1","Sminthuridae.sp.1a","Sminthuridae.sp.2","Sminthuridae.sp.3","Sminthuridae.sp.3a","Sminthuridae.sp.4","Sminthuridae.sp.4a","Sminthuridae.sp.5","Sminthuridae.sp.5a","sm.spider","md.spider","lg.spider","Diptera.spp.","mosquito","insect.larva","Coleoptera.larva","Coleoptera.spp.","aphid","cricket"
"14A-1.O","1","4","A","1","O",TRUE,NA,8,0,1,20,1,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,1,2,0,0,4,0,0,28,4,1,4,0,64,3,1,118,0,8,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,4,3,0,0,0,18,2,0,1,1,0,0,0,0
"14A-1.I","1","4","A","1","I",FALSE,"Seems like this sample has already been picked through by Zoe - less individuals & spp. than expected?  Suspiciously depauperate",1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,6,0,0,0,0,41,2,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,2,2,0,0,0,0
"14A-2.O","1","4","A","2","O",FALSE,NA,75,0,0,68,13,0,0,0,0,0,0,27,16,39,44,0,1,0,9,18,0,2,1,1,2,0,7,65,3,0,6,1,36,15,0,597,4,26,0,0,0,2,2,10,19,5,0,0,5,1,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,1,0,0
"14A-2.I","1","4","A","2","I",FALSE,NA,5,0,0,14,3,2,0,0,0,5,0,12,9,22,4,0,1,0,1,4,0,0,1,3,0,0,1,17,5,6,1,0,190,6,0,60,0,5,0,0,0,3,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,12,0,2,4,14,0,0,0,0
"14A-4.O","1","4","A","4","O",TRUE,"***** Use these values: composite of original and redo",12,0,43,18,20,0,0,0,0,1,0,23,7,10,9,0,0,0,8,16,6,0,0,0,1,3,3,23,1,3,0,0,3,1,0,67,15,0,0,0,0,0,0,0,14,4,0,0,0,2,0,1,2,1,3,2,0,0,0,1,0,1,0,0,0,0,0,0
"14A-4.I","1","4","A","4","I",FALSE,NA,12,0,0,31,13,0,0,0,0,4,0,8,11,20,8,0,0,0,5,19,2,0,0,0,4,0,4,19,25,1,1,1,30,13,1,76,1,14,0,0,0,9,18,6,8,0,1,0,10,1,0,0,0,0,1,4,0,0,0,2,0,0,1,2,0,0,0,0
"14C-1.O","1","4","C","1","O",FALSE,"Onychiuridae sp.1 x1 & sp.2 x2 on slide",39,0,0,32,15,0,0,0,0,1,0,27,5,38,0,0,2,1,5,14,0,2,0,0,0,4,3,45,0,0,0,0,15,5,0,3,9,15,0,0,0,1,0,0,6,3,0,0,14,0,2,0,0,0,4,7,1,0,0,2,1,1,0,2,0,0,0,0
"14C-1.I","1","4","C","1","I",FALSE,NA,52,1,0,25,13,0,0,0,0,0,0,35,10,19,17,0,8,0,2,5,0,0,0,0,1,0,7,29,4,2,0,0,13,4,1,14,0,9,0,0,0,7,1,0,3,0,0,0,5,0,0,0,0,0,0,9,0,0,0,2,1,0,0,6,0,0,0,0
"14C-2.O","1","4","C","2","O",TRUE,"messy with debris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14C-2.I","1","4","C","2","I",FALSE,NA,3,0,0,17,7,0,0,0,0,0,0,7,1,0,0,0,4,0,3,6,0,0,0,0,1,0,3,27,0,9,8,0,1,0,1,1,2,0,0,0,0,17,0,0,2,0,1,0,0,0,2,0,0,0,0,9,0,0,0,7,0,0,2,4,0,0,0,0
"14C-4.O","1","4","C","4","O",TRUE,"messy with debris; Zerconidae molt",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"14C-4.I","1","4","C","4","I",TRUE,NA,4,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0,1,0,0,21,2,0,0,4,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,3,1,0,0,1,0,3,3,0,0,5,5,0,0,1,11,0,0,0,0
"34A-1.O","3","4","A","1","O",TRUE,"Suspiciously depauperate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,4,1,1,0,0,0,0
"34A-1.I","3","4","A","1","I",FALSE,"Suspiciously depauperate",1,0,0,1,3,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,3,3,0,0,17,0,5,1,0,0,3,3,4,1,1,0,0,13,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0
"34A-2.O","3","4","A","2","O",FALSE,"Isotomidae 3a is the same as in Block 7 (long head, short furc., no posterior spines)",7,0,0,0,1,0,0,0,0,1,0,4,4,2,1,0,0,0,4,14,1,0,0,0,0,3,3,19,9,11,0,0,14,2,0,72,0,13,0,1,0,6,1,0,9,3,0,0,5,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0
"34A-2.I","3","4","A","2","I",FALSE,NA,7,0,2,0,5,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,34,11,31,4,0,6,1,0,49,0,19,0,0,0,14,2,0,5,1,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,8,0,1,0,0,0,0
"34A-4.O","3","4","A","4","O",TRUE,NA,10,0,0,5,1,0,0,0,0,2,0,4,1,9,18,0,0,0,3,23,0,0,0,0,3,0,1,13,4,4,0,0,4,1,0,240,8,6,0,0,0,10,4,1,21,2,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,2,0,0,1
"34A-4.I","3","4","A","4","I",FALSE,NA,5,0,0,2,3,0,0,0,0,0,0,17,1,17,7,0,1,0,9,7,0,0,0,0,0,1,1,12,2,7,5,0,2,2,0,46,0,0,0,0,0,0,1,0,12,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,4,0,1,1,0,0,0
"34C-1.O","3","4","C","1","O",FALSE,"label swapped with 34C-1.I?",0,0,0,0,0,0,0,0,0,0,0,32,12,13,4,0,1,0,18,22,0,5,0,0,0,0,8,39,4,4,3,0,7,0,0,77,0,16,0,1,0,33,18,2,36,11,1,0,0,2,0,0,0,0,0,5,0,1,0,4,1,6,0,0,0,0,0,0
"34C-1.I","3","4","C","1","I",FALSE,"label swapped with 34C-1.O?",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,2,0,0,0,0,0,0
"34C-2.O","3","4","C","2","O",TRUE,"Many sm prostigs + Nanorchestes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"34C-2.I","3","4","C","2","I",FALSE,"Tomoceridae = Entomobryidae 4?",0,0,0,0,0,0,2,0,0,1,0,7,1,5,1,0,0,0,28,27,0,0,0,0,2,0,3,25,3,4,2,0,0,0,0,39,0,5,0,6,0,9,0,0,14,2,0,1,2,1,0,0,0,0,0,0,0,0,7,3,0,2,0,1,4,0,0,0
"34C-4.O","3","4","C","4","O",TRUE,"Many sm prostigs + Nanorchestes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0
"34C-4.I","3","4","C","4","I",TRUE,NA,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,1,9,2,7,2,0,2,0,0,7,1,9,0,0,0,6,4,0,13,2,0,0,23,7,1,0,5,0,0,6,0,0,0,1,0,4,0,2,31,0,0,0
"54A-1.O","5","4","A","1","O",TRUE,NA,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,0,0,0,0,2,0,0,0,0,0,0,1,95,6,11,3,0,16,1,2,26,0,7,0,0,0,6,42,0,1,0,0,0,3,5,0,1,0,0,0,3,8,1,0,6,2,2,0,5,0,0,1,0
"54A-1.I","5","4","A","1","I",FALSE,NA,0,0,0,0,0,0,0,0,0,0,0,20,16,36,7,0,4,0,5,9,1,0,0,0,0,0,2,93,22,25,3,2,10,1,0,49,0,9,0,0,0,29,22,0,11,0,0,0,7,0,2,0,0,0,3,1,7,3,4,12,1,2,0,7,1,0,1,0
"54A-2.O","5","4","A","2","O",FALSE,NA,0,0,0,0,0,0,0,0,0,0,0,12,7,21,12,0,0,0,5,18,0,2,0,0,3,0,4,74,5,7,0,0,17,4,0,1,0,2,0,0,0,55,19,0,3,0,0,0,2,0,0,0,0,0,1,0,3,0,0,4,1,1,0,1,0,0,0,0
"54A-2.I","5","4","A","2","I",FALSE,"sm spiders actually small: legs curled under",0,0,0,0,0,0,0,0,0,0,0,17,5,27,8,0,0,0,13,25,1,1,0,0,2,1,3,76,5,3,0,0,7,0,0,2,0,0,0,0,0,27,29,0,14,0,0,0,0,2,1,0,0,0,0,0,0,1,4,8,2,2,0,1,0,0,0,0
"54A-4.O","5","4","A","4","O",TRUE,NA,0,0,0,0,0,0,0,0,0,0,0,21,11,9,4,0,0,0,21,41,0,0,0,0,1,0,0,34,5,11,1,1,6,0,0,15,0,0,0,0,0,17,34,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0
"54A-4.I","5","4","A","4","I",FALSE,"Uropodoidea 3: pink (juvis?)",0,0,0,0,0,0,2,0,0,0,0,21,10,24,23,0,0,0,15,2,0,0,0,0,3,0,0,125,25,21,0,1,17,5,0,17,0,1,0,0,0,22,46,0,11,0,0,1,12,3,0,0,0,0,0,1,4,0,0,1,1,1,0,1,0,0,0,0
"54C-1.O","5","4","C","1","O",FALSE,NA,0,0,0,0,0,0,0,0,0,1,0,11,7,7,3,0,0,0,5,6,0,0,0,0,2,1,1,40,5,3,0,0,5,0,1,21,0,2,0,0,0,26,5,0,0,0,0,0,14,0,0,0,1,0,0,1,1,2,0,6,1,0,0,0,0,0,0,0
"54C-1.I","5","4","C","1","I",FALSE,"1 pink Uropodoidea 3 (=>3a)",0,0,0,0,0,1,1,0,0,1,0,34,17,14,6,0,0,0,8,26,0,0,0,0,2,2,6,82,7,1,1,0,3,0,0,13,0,3,0,0,0,43,13,0,6,0,0,0,7,0,0,0,0,0,0,1,5,6,3,3,0,1,0,1,1,0,14,0
"54C-2.O","5","4","C","2","O",TRUE,"1 Laelapidae 2 is a molt; Isotomids faded yellow in colour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
"54C-2.I","5","4","C","2","I",FALSE,"1 Laelapidae 2 is a molt",0,0,0,0,0,0,0,0,0,0,0,49,14,35,7,0,0,0,16,40,0,2,0,0,1,3,4,58,8,2,2,0,9,0,0,17,0,1,0,0,0,72,26,0,11,0,0,0,16,0,0,0,0,0,0,0,0,1,0,13,2,1,0,0,1,0,2,0
"54C-4.O","5","4","C","4","O",TRUE,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0
"54C-4.I","5","4","C","4","I",TRUE,"Some Neelidae look similar to Sminthuridae 4a & vice versa",0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2,23,8,2,1,1,17,2,0,10,0,5,0,0,0,1,26,4,6,0,0,0,25,0,0,0,0,0,0,7,0,2,0,12,2,3,0,0,4,0,10,0
"74A-1.O","7","4","A","1","O",TRUE,"Used wider Bogorov tray - fewer individuals?  Where some hidden along edges that I missed?",5,0,0,23,1,5,4,6,24,5,1,10,10,19,5,0,4,0,0,0,0,0,0,0,0,0,0,19,6,6,2,0,22,3,0,66,1,13,0,0,0,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,5,0,0,1,0
"74A-1.I","7","4","A","1","I",FALSE,"Uropodoidea 3 are both pink immatures.",16,0,0,4,4,0,2,3,4,5,0,3,4,8,0,0,0,0,0,0,0,0,2,0,0,0,0,6,3,1,0,0,3,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,1,0,2,0,0,0,0
"74A-2.O","7","4","A","2","O",FALSE,"Nice Tomocedirae for slide-mounting (currently too low on Hoyer's)",11,0,0,3,8,0,0,2,4,3,4,22,11,24,8,2,0,0,5,22,0,0,0,0,5,9,2,62,8,3,0,0,49,0,4,136,0,21,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,7,0,0,16,0
"74A-2.I","7","4","A","2","I",FALSE,"1 Zerconidae 2a uncertain (decided to re-name 2c)",10,0,0,7,3,0,0,0,1,1,0,24,21,9,19,1,2,0,0,0,0,0,0,0,1,0,2,40,4,7,2,0,30,3,0,95,0,52,0,0,0,6,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,2,0,0,0
"74A-4.O","7","4","A","4","O",TRUE,NA,15,1,0,4,17,2,1,0,7,1,0,68,49,19,13,0,1,0,3,0,0,0,0,0,4,7,2,52,74,14,3,0,32,2,0,224,0,28,0,0,0,2,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,0,0,84,0
"74A-4.I","7","4","A","4","I",FALSE,NA,32,0,0,2,24,3,0,6,7,8,10,41,21,5,4,3,1,0,2,1,0,0,0,0,4,4,0,40,4,11,0,0,60,2,1,87,1,9,0,0,0,10,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,4,0
"74C-1.O","7","4","C","1","O",FALSE,"1 Hypogastruridae 1a: big & opaque brown; Dithinzerconidae pink (ID uncertain); 1 HUGE brown insect larva (caterpillar?)",10,0,0,6,1,0,2,1,2,3,0,37,23,10,11,0,2,0,4,6,0,2,0,0,3,0,6,62,3,9,14,1,21,0,0,120,1,68,0,0,0,17,16,1,13,0,0,1,2,0,0,0,0,0,0,1,0,0,0,7,1,0,0,3,0,0,7,0
"74C-1.I","7","4","C","1","I",FALSE,NA,12,0,0,9,2,2,2,0,5,1,0,48,19,13,14,0,1,0,5,1,1,0,0,0,4,1,8,30,6,7,24,0,16,1,0,104,1,81,0,0,0,14,21,4,28,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,4,0,87,0
"74C-2.O","7","4","C","2","O",TRUE,"""beetle"" = some sort of insect (no wings), lg dk brown, almost Collembola-shaped body (but no furcula, and with compound eyes).",0,0,0,1,1,0,0,0,0,3,0,1,1,2,1,0,0,0,5,4,0,2,0,0,1,0,3,41,5,3,3,0,187,3,0,32,0,19,0,0,0,24,5,1,8,0,7,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,1,0,0
"74C-2.I","7","4","C","2","I",FALSE,"Isotomidae 3a from here looks slightly different than earlier Isotomidae 3a slide (PAO not obvious, post spines absent?); Dithinzerconidae 4 all pink (Uropodina 1??)",6,0,0,8,16,1,0,4,4,0,0,15,5,12,13,0,3,0,5,12,0,0,0,0,2,1,7,57,6,11,7,1,82,2,0,97,0,140,0,1,0,13,10,0,19,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0
"74C-4.O","7","4","C","4","O",TRUE,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74C-4.I","7","4","C","4","I",TRUE,NA,0,0,0,7,5,0,0,0,0,0,0,0,2,0,4,0,0,0,2,5,0,0,0,0,0,0,0,26,10,1,2,0,4,1,0,90,0,42,0,0,0,0,3,4,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0
