"ID","Lowest.Level.ID","Major.Taxa","Taxonomic.Group","Trophic.Group"
"Sejina_sp.","Sejina sp.","Sejidae","Mesostigmata","Predator"
"Uropodina_sp.1","Uropodina sp.1","Uropodina","Mesostigmata","Grazer"
"Uropodina_sp.2","Uropodina sp.2","Uropodina","Mesostigmata","Grazer"
"Pergamascus_sp.","Pergamascus sp.","Uropodina","Mesostigmata","Grazer"
"Uropodina_spp.3","Uropodina spp.3","Uropodina","Mesostigmata","Grazer"
"Zercon_sp.","Zercon sp.","Gamasina","Mesostigmata","Predator"
"Parazercon_sp.","Parazercon sp.","Gamasina","Mesostigmata","Predator"
"Veigaiidae_sp.","Veigaiidae sp.",":Dermanyssiae","Mesostigmata","Predator"
"Ologamasidae_sp.","Ologamasidae sp.","::Rhodacaroidea","Mesostigmata","Predator"
"Laelapidae_sp.1","Laelapidae sp.1","::Dermanyssoidea","Mesostigmata","Predator"
"Laelapidae_sp.2","Laelapidae sp.2","::Dermanyssoidea","Mesostigmata","Predator"
"Laelapidae_sp.3","Laelapidae sp.3","::Dermanyssoidea","Mesostigmata","Predator"
"Laelapidae_sp.4","Laelapidae sp.4","::Dermanyssoidea","Mesostigmata","Predator"
"Laelapidae_sp.5","Laelapidae sp.5","::Dermanyssoidea","Mesostigmata","Predator"
"Bdellidae_spp.","Bdellidae spp.","Bdelloidea","Prostigmata","Predator"
"Rhagidae_spp.","Rhagidae spp.","Eupodoidea","Prostigmata","Predator"
"Hypogastruridae_sp.1","Hypogastruridae sp.1","Poduromorpha","Collembola","Grazer"
"Hypogastruridae_sp.2","Hypogastruridae sp.2","Poduromorpha","Collembola","Grazer"
"Onychiuridae_sp.","Onychiuridae sp.","Poduromorpha","Collembola","Grazer"
"Tomoceridae_sp.","Tomoceridae sp.","Entomobryomorpha","Collembola","Grazer"
"Folsomia_penicula","Folsomia penicula","Entomobryomorpha","Collembola","Grazer"
"Isotomidae_sp.3","Isotomidae sp.3","Entomobryomorpha","Collembola","Grazer"
"Metisotoma_grandiceps","Metisotoma grandiceps","Entomobryomorpha","Collembola","Grazer"
"Isotomidae_sp.5","Isotomidae sp.5","Entomobryomorpha","Collembola","Grazer"
"Isotomidae_sp.4","Isotomidae sp.4","Entomobryomorpha","Collembola","Grazer"
"Isotoma_notabilis","Isotoma notabilis","Entomobryomorpha","Collembola","Grazer"
"Entomobryidae_sp.1","Entomobryidae sp.1","Entomobryomorpha","Collembola","Grazer"
"Entomobryidae_sp.2","Entomobryidae sp.2","Entomobryomorpha","Collembola","Grazer"
"Entomobryidae_sp.3","Entomobryidae sp.3","Entomobryomorpha","Collembola","Grazer"
"Neelidae_spp.","Neelidae spp.","Symphypleona","Collembola","Grazer"
"Sminthuridae_sp.1","Sminthuridae sp.1","Symphypleona","Collembola","Grazer"
"Sminthuridae_sp.2","Sminthuridae sp.2","Symphypleona","Collembola","Grazer"
"Sminthuridae_sp.3","Sminthuridae sp.3","Symphypleona","Collembola","Grazer"
"spider","spider","Arthropoda","Other","Other"
"Diptera_spp.","Diptera spp.","Arthropoda","Other","Other"
"insect_larva","insect larva","Arthropoda","Other","Other"
"Coleoptera_larva","Coleoptera larva","Arthropoda","Other","Other"
"Coleoptera_spp.","Coleoptera spp.","Arthropoda","Other","Other"
"aphid","aphid","Arthropoda","Other","Other"
"cricket","cricket","Arthropoda","Other","Other"
"book_lice","book lice","Arthropoda","Other","Other"
"moth","moth","Arthropoda","Other","Other"
