"SampleID","Block","Time","Chamber","Frag","Pos","grow01","Prod01","notes01","grow12","Prod12","notes12","grow23","Prod23","notes23","mg.cm","mg.mm"
"13A-1.I","1","3","A","1","1",NA,NA,"",-0.48,-0.159843613267911,"",3,0.999022582924442,"",3.33007527641481,0.333007527641481
"13A-1.N","1","3","A","1","N",NA,NA,"",2.99,0.995686198884382,"",3.96,1.31870145404085,"",3.33005417687084,0.333005417687084
"13A-1.O","1","3","A","1","0",NA,NA,"",3.06,1.01899304402901,"",5.08,1.69166165479326,"",3.33004262754579,0.333004262754579
"13A-2.c","1","3","A","2","c",NA,NA,"",-2.17,NA,"",1.06,NA,"",NA,NA
"13A-2.I","1","3","A","2","1",NA,NA,"",-0.16,-0.0532820937826845,"",1.23,0.409606095954387,"",3.33013086141778,0.333013086141778
"13A-2.O","1","3","A","2","0",NA,NA,"",5.41,1.80159031196288,"loose",1.47,0.489526387908583,"loose",3.33011148237131,0.333011148237131
"13A-2.W","1","3","A","2","W",NA,NA,"",6.62,2.20456793931621,"",4.56,1.51855435094893,"",3.33016305032660,0.33301630503266
"13A-3.c","1","3","A","3","c",NA,NA,"",5.62,NA,"",4.39,NA,"",NA,NA
"13A-3.I","1","3","A","3","1",NA,NA,"",3.86,1.28545015479254,"",3.71,1.23549742857003,"",3.33018174816719,0.333018174816719
"13A-3.O","1","3","A","3","0",NA,NA,"",5.54,1.84496481064005,"",4.6,1.53192023988163,"",3.33026139104702,0.333026139104702
"13A-3.S","1","3","A","3","S",NA,NA,"",2.79,0.929134461878836,"",5.37,1.78833407178830,"",3.3302310461607,0.33302310461607
"13A-4.E","1","3","A","4","E",NA,NA,"",4.2,1.39865209526805,"",4.35,1.44860395581333,"",3.33012403635249,0.333012403635249
"13A-4.I","1","3","A","4","1",NA,NA,"",7.69,2.56088695213682,"",6.96,2.31778585004841,"",3.33015208340289,0.333015208340289
"13A-4.O","1","3","A","4","0",NA,NA,"",3.38,1.12559912217086,"",3.23,1.07564649840588,"",3.33017491766526,0.333017491766526
"13B-1.I","1","3","B","1","1",NA,NA,"",4.91,NA,"",2.87,NA,"",NA,NA
"13B-1.O","1","3","B","1","0",NA,NA,"",3.9,NA,"",0.64,NA,"",NA,NA
"13B-1.S","1","3","B","1","S",NA,NA,"",5.28,NA,"",4.34,NA,"",NA,NA
"13B-2.c","1","3","B","2","c",NA,NA,"",6.83,NA,"",5.38,NA,"",NA,NA
"13B-2.E","1","3","B","2","E",NA,NA,"curly",4.09,NA,"dry",-2.24,NA,"",NA,NA
"13B-2.I","1","3","B","2","1",NA,NA,"curly",8.17,NA,"",1.66,NA,"curly",NA,NA
"13B-2.O","1","3","B","2","0",NA,NA,"",3.95,NA,"",4.45,NA,"",NA,NA
"13B-3.c","1","3","B","3","c",NA,NA,"",-0.24,NA,"",-0.34,NA,"",NA,NA
"13B-3.I","1","3","B","3","1",NA,NA,"",NA,NA,"broken",NA,NA,"broken?",NA,NA
"13B-3.N","1","3","B","3","N",NA,NA,"",3.36,NA,"",1.72,NA,"",NA,NA
"13B-3.O","1","3","B","3","0",NA,NA,"",1.59,NA,"",0.62,NA,"",NA,NA
"13B-4.I","1","3","B","4","1",NA,NA,"",4.02,NA,"",3.82,NA,"",NA,NA
"13B-4.O","1","3","B","4","0",NA,NA,"",0.12,NA,"",3.26,NA,"",NA,NA
"13B-4.W","1","3","B","4","W",NA,NA,"curly",5.22,NA,"",3.42,NA,"",NA,NA
"13C-1.I","1","3","C","1","1",NA,NA,"",0.92,0.327607412718524,"",3.61,1.28550299990638,"",3.56095013824483,0.356095013824483
"13C-1.O","1","3","C","1","0",NA,NA,"",0.69,0.237771313336885,"dry",-0.1,-0.034459610628534,"dry",3.4459610628534,0.34459610628534
"13C-1.W","1","3","C","1","W",NA,NA,"",0.78,0.259519627473356,"",1.14,0.379297917076443,"dry + curly",3.32717471119687,0.332717471119687
"13C-2.c","1","3","C","2","c",NA,NA,"",3.43,NA,"",2.76,NA,"",NA,NA
"13C-2.I","1","3","C","2","1",NA,NA,"",4.63,1.64856458058941,"",6.74,2.39985427066364,"",3.56061464490154,0.356061464490154
"13C-2.N","1","3","C","2","N",NA,NA,"",3.38,1.0938098986063,"dry, curly",-1.05,-0.339793015839235,"curly",3.23612396037367,0.323612396037367
"13C-2.O","1","3","C","2","0",NA,NA,"curled",1.14,0.393058808163425,"dry",-0.74,-0.255143436878012,"loose, dry + curly",3.44788428213530,0.344788428213530
"13C-3.c","1","3","C","3","c",NA,NA,"",6.15,NA,"",4.82,NA,"",NA,NA
"13C-3.I","1","3","C","3","1",NA,NA,"",5.13,1.82721358037127,"",3.4,1.21101874722462,"",3.5618198447783,0.35618198447783
"13C-3.O","1","3","C","3","0",NA,NA,"curled",1.64,0.56476949687056,"dry",-1.85,-0.637087542201546,"dry, spider webs",3.44371644433268,0.344371644433268
"13C-3.S","1","3","C","3","S",NA,NA,"",4.99,1.66030135064281,"",3.33,1.10797665283378,"",3.32725721571705,0.332725721571705
"13C-4.E","1","3","C","4","E",NA,NA,"",4.53,1.46591854229854,"",-2.03,-0.656912724252989,"",3.23602327218221,0.323602327218221
"13C-4.I","1","3","C","4","1",NA,NA,"",2.39,0.851172043718324,"",-1.15,-0.409559769989989,"",3.56138930426077,0.356138930426077
"13C-4.O","1","3","C","4","0",NA,NA,"",0.22,0.0757966659553197,"dry",-0.59,-0.203272876880176,"",3.44530299796908,0.344530299796908
"14A-1.I","1","4","A","1","1",5.84,1.94352884811290,"",0.89,0.296188471715836,"",1.98,0.658936150558827,"",3.32796035635771,0.332796035635771
"14A-1.N","1","4","A","1","N",6.13,2.04001070147033,"",4.55,1.51420043910114,"",5.03,1.67394026564368,"wet",3.32791305296954,0.332791305296954
"14A-1.O","1","4","A","1","0",7.9,2.62904222497755,"",2.27,0.75543365198722,"",6.7,2.22969403890501,"",3.32790155060449,0.332790155060449
"14A-1.W","1","4","A","1","W",8.69,2.89198801484532,"",3.99,1.32785180428456,"",3.45,1.14814253753928,"",3.32794938417183,0.332794938417183
"14A-2.c","1","4","A","2","c",5.23,NA,"",3.36,NA,"",4.51,NA,"",NA,NA
"14A-2.c2","1","4","A","2","c2",NA,NA,"",2.46,NA,"black thread",3.75,NA,"",NA,NA
"14A-2.I","1","4","A","2","1",8.49,2.82557408264184,"",2.49,0.82870193943206,"curly",2.45,0.815389458477328,"",3.32812023868297,0.332812023868297
"14A-2.O","1","4","A","2","0",2.14,0.712237024316897,"broke (new length = t1.1)",NA,NA,"branched, previously broken",1.67,0.5558111357987,"curly: new tip",3.32821039400419,0.332821039400419
"14A-2.S","1","4","A","2","S",NA,NA,"",2.04,0.678959197777718,"",6.15,2.04686228741812,"",3.32823136165548,0.332823136165548
"14A-3.c","1","4","A","3","c",7.99,NA,"",NA,NA,"previously broken",-2.01,NA,"brown, broken?",NA,NA
"14A-3.c2","1","4","A","3","c2",NA,NA,"",3.65,NA,"",5.5,NA,"",NA,NA
"14A-3.E","1","4","A","3","E",NA,NA,"curly",-0.39,-0.129799003701438,"",2.67,0.888623948417538,"",3.32817958208816,0.332817958208816
"14A-3.I","1","4","A","3","1",7.97,2.65253399427889,"",6.09,2.02684216124949,"",3,0.998444414408615,"",3.32814804802872,0.332814804802872
"14A-3.O","1","4","A","3","0",1.47,0.489257837402184,"broken?",0.41,0.136459668935303,"previously broken",-0.66,-0.219666784139756,"broken? New tip?",3.32828460817812,0.332828460817812
"14A-4.I","1","4","A","4","1",7.09,2.3595776383192,"",1.97,0.655623123764291,"",5.75,1.91362079271303,"",3.32803616124006,0.332803616124006
"14A-4.N","1","4","A","4","N",6.22,2.06996648662464,"",0.4,0.133116815860106,"",8.5,2.82873233702725,"broken? New tip?",3.32792039650264,0.332792039650264
"14A-4.O","1","4","A","4","0",10.11,3.36456660484686,"",4.49,1.49425361580241,"loose, curly",8.33,2.77218989301428,"loose, bent",3.32795905523923,0.332795905523923
"14A-E.I","1","4","A","E","1",NA,NA,"",1.59,NA,"broke",-0.35,NA,"broken",NA,NA
"14A-E.O","1","4","A","E","0",NA,NA,"curly",4.64,NA,"loose",-2,NA,"curly",NA,NA
"14A-N.I","1","4","A","N","1",NA,NA,"curly",4.23,NA,"curly",-0.56,NA,"",NA,NA
"14A-N.O","1","4","A","N","0",NA,NA,"",2.91,NA,"",4.97,NA,"curly",NA,NA
"14A-S.I","1","4","A","S","1",NA,NA,"",1.88,NA,"",3.94,NA,"",NA,NA
"14A-S.O","1","4","A","S","0",NA,NA,"curly",1.55,NA,"",4.99,NA,"",NA,NA
"14A-W.I","1","4","A","W","1",NA,NA,"",2.01,NA,"loose",6.41,NA,"",NA,NA
"14A-W.O","1","4","A","W","0",NA,NA,"",4.68,NA,"",5.12,NA,"curly",NA,NA
