"SampleID","Block","Time","Chamber","Frag","Pos","xE","yN"
"11A-1.O","1","1","A","1","O","642186.807","6074263.217"
"11A-1.I","1","1","A","1","I","642186.719","6074263.306"
"11A-1.S","1","1","A","1","S","642186.719","6074263.217"
"11A-1.E","1","1","A","1","E","642186.807","6074263.306"
"11A-2.O","1","1","A","2","O","642186.201","6074263.149"
"11A-2.I","1","1","A","2","I","642186.426","6074263.374"
"11A-2.S","1","1","A","2","S","642186.426","6074263.149"
"11A-2.W","1","1","A","2","W","642186.201","6074263.374"
"11A-3.O","1","1","A","3","O","642186.201","6074263.824"
"11A-3.I","1","1","A","3","I","642186.426","6074263.599"
"11A-3.N","1","1","A","3","N","642186.426","6074263.824"
"11A-3.W","1","1","A","3","W","642186.201","6074263.599"
"11A-4.O","1","1","A","4","O","642186.876","6074263.824"
"11A-4.I","1","1","A","4","I","642186.651","6074263.599"
"11A-4.N","1","1","A","4","N","642186.651","6074263.824"
"11A-4.E","1","1","A","4","E","642186.876","6074263.599"
"11B-1.O","1","1","B","1","O","642184.096","6074263.913"
"11B-1.I","1","1","B","1","I","642184.185","6074264.001"
"11B-1.S","1","1","B","1","S","642184.185","6074263.913"
"11B-1.W","1","1","B","1","W","642184.096","6074264.001"
"11B-2.O","1","1","B","2","O","642184.703","6074263.845"
"11B-2.I","1","1","B","2","I","642184.478","6074264.070"
"11B-2.S","1","1","B","2","S","642184.478","6074263.845"
"11B-2.E","1","1","B","2","E","642184.703","6074264.070"
"11B-3.O","1","1","B","3","O","642184.028","6074264.520"
"11B-3.I","1","1","B","3","I","642184.253","6074264.295"
"11B-3.N","1","1","B","3","N","642184.253","6074264.520"
"11B-3.W","1","1","B","3","W","642184.028","6074264.295"
"11B-4.O","1","1","B","4","O","642184.703","6074264.520"
"11B-4.I","1","1","B","4","I","642184.478","6074264.295"
"11B-4.N","1","1","B","4","N","642184.478","6074264.520"
"11B-4.E","1","1","B","4","E","642184.703","6074264.295"
"11C-1.O","1","1","C","1","O","642181.315","6074264.576"
"11C-1.I","1","1","C","1","I","642181.403","6074264.488"
"11C-1.N","1","1","C","1","N","642181.403","6074264.576"
"11C-1.W","1","1","C","1","W","642181.315","6074264.488"
"11C-2.O","1","1","C","2","O","642181.922","6074263.969"
"11C-2.I","1","1","C","2","I","642181.697","6074264.194"
"11C-2.S","1","1","C","2","S","642181.697","6074263.969"
"11C-2.E","1","1","C","2","E","642181.922","6074264.194"
"11C-3.O","1","1","C","3","O","642181.922","6074264.644"
"11C-3.I","1","1","C","3","I","642181.697","6074264.419"
"11C-3.N","1","1","C","3","N","642181.697","6074264.644"
"11C-3.E","1","1","C","3","E","642181.922","6074264.419"
"11C-4.O","1","1","C","4","O","642181.247","6074263.969"
"11C-4.I","1","1","C","4","I","642181.472","6074264.194"
"11C-4.S","1","1","C","4","S","642181.472","6074263.969"
"11C-4.W","1","1","C","4","W","642181.247","6074264.194"
"21A-1.O","2","1","A","1","O","642190.406","6074267.443"
"21A-1.I","2","1","A","1","I","642190.317","6074267.531"
"21A-1.S","2","1","A","1","S","642190.317","6074267.443"
"21A-1.E","2","1","A","1","E","642190.406","6074267.531"
"21A-2.O","2","1","A","2","O","642190.474","6074268.049"
"21A-2.I","2","1","A","2","I","642190.249","6074267.824"
"21A-2.N","2","1","A","2","N","642190.249","6074268.049"
"21A-2.E","2","1","A","2","E","642190.474","6074267.824"
"21A-3.O","2","1","A","3","O","642189.799","6074268.049"
"21A-3.I","2","1","A","3","I","642190.024","6074267.824"
"21A-3.N","2","1","A","3","N","642190.024","6074268.049"
"21A-3.W","2","1","A","3","W","642189.799","6074267.824"
"21A-4.O","2","1","A","4","O","642189.799","6074267.374"
"21A-4.I","2","1","A","4","I","642190.024","6074267.599"
"21A-4.S","2","1","A","4","S","642190.024","6074267.374"
"21A-4.W","2","1","A","4","W","642189.799","6074267.599"
"21B-1.O","2","1","B","1","O","642192.814","6074265.470"
"21B-1.I","2","1","B","1","I","642192.725","6074265.558"
"21B-1.S","2","1","B","1","S","642192.725","6074265.470"
"21B-1.E","2","1","B","1","E","642192.814","6074265.558"
"21B-2.O","2","1","B","2","O","642192.882","6074266.077"
"21B-2.I","2","1","B","2","I","642192.657","6074265.852"
"21B-2.N","2","1","B","2","N","642192.657","6074266.077"
"21B-2.E","2","1","B","2","E","642192.882","6074265.852"
"21B-3.O","2","1","B","3","O","642192.207","6074265.402"
"21B-3.I","2","1","B","3","I","642192.432","6074265.627"
"21B-3.S","2","1","B","3","S","642192.432","6074265.402"
"21B-3.W","2","1","B","3","W","642192.207","6074265.627"
"21B-4.O","2","1","B","4","O","642192.207","6074266.077"
"21B-4.I","2","1","B","4","I","642192.432","6074265.852"
"21B-4.N","2","1","B","4","N","642192.432","6074266.077"
"21B-4.W","2","1","B","4","W","642192.207","6074265.852"
"21C-1.O","2","1","C","1","O","642191.766","6074267.431"
"21C-1.I","2","1","C","1","I","642191.678","6074267.343"
"21C-1.N","2","1","C","1","N","642191.678","6074267.431"
"21C-1.E","2","1","C","1","E","642191.766","6074267.343"
"21C-2.O","2","1","C","2","O","642191.160","6074266.825"
"21C-2.I","2","1","C","2","I","642191.385","6074267.050"
"21C-2.S","2","1","C","2","S","642191.385","6074266.825"
"21C-2.W","2","1","C","2","W","642191.160","6074267.050"
"21C-3.O","2","1","C","3","O","642191.160","6074267.500"
"21C-3.I","2","1","C","3","I","642191.385","6074267.275"
"21C-3.N","2","1","C","3","N","642191.385","6074267.500"
"21C-3.W","2","1","C","3","W","642191.160","6074267.275"
"21C-4.O","2","1","C","4","O","642191.835","6074266.825"
"21C-4.I","2","1","C","4","I","642191.610","6074267.050"
"21C-4.S","2","1","C","4","S","642191.610","6074266.825"
"21C-4.E","2","1","C","4","E","642191.835","6074267.050"
"31A-1.O","3","1","A","1","O","642181.954","6074273.114"
"31A-1.I","3","1","A","1","I","642182.043","6074273.026"
"31A-1.N","3","1","A","1","N","642182.043","6074273.114"
"31A-1.W","3","1","A","1","W","642181.954","6074273.026"
"31A-2.O","3","1","A","2","O","642182.561","6074273.183"
"31A-2.I","3","1","A","2","I","642182.336","6074272.958"
"31A-2.N","3","1","A","2","N","642182.336","6074273.183"
"31A-2.E","3","1","A","2","E","642182.561","6074272.958"
"31A-3.O","3","1","A","3","O","642181.886","6074272.508"
"31A-3.I","3","1","A","3","I","642182.111","6074272.733"
"31A-3.S","3","1","A","3","S","642182.111","6074272.508"
"31A-3.W","3","1","A","3","W","642181.886","6074272.733"
"31A-4.O","3","1","A","4","O","642182.561","6074272.508"
"31A-4.I","3","1","A","4","I","642182.336","6074272.733"
"31A-4.S","3","1","A","4","S","642182.336","6074272.508"
"31A-4.E","3","1","A","4","E","642182.561","6074272.733"
"31B-1.O","3","1","B","1","O","642185.089","6074270.312"
"31B-1.I","3","1","B","1","I","642185.001","6074270.224"
"31B-1.N","3","1","B","1","N","642185.001","6074270.312"
"31B-1.E","3","1","B","1","E","642185.089","6074270.224"
"31B-2.O","3","1","B","2","O","642184.482","6074269.705"
"31B-2.I","3","1","B","2","I","642184.707","6074269.930"
"31B-2.S","3","1","B","2","S","642184.707","6074269.705"
