"SampleID","Block","Time","Chamber","Frag","Pos","xE","yN"
"11A-1.O","1","1","A","1","O",642186.80727532,6074263.21749949
"11A-1.I","1","1","A","1","I",642186.718886973,6074263.30588783
"11A-1.S","1","1","A","1","S",642186.718886973,6074263.21749949
"11A-1.E","1","1","A","1","E",642186.80727532,6074263.30588783
"11A-2.O","1","1","A","2","O",642186.200581147,6074263.14919366
"11A-2.I","1","1","A","2","I",642186.425581147,6074263.37419366
"11A-2.S","1","1","A","2","S",642186.425581147,6074263.14919366
"11A-2.W","1","1","A","2","W",642186.200581147,6074263.37419366
"11A-3.O","1","1","A","3","O",642186.200581147,6074263.82419366
"11A-3.I","1","1","A","3","I",642186.425581147,6074263.59919366
"11A-3.N","1","1","A","3","N",642186.425581147,6074263.82419366
"11A-3.W","1","1","A","3","W",642186.200581147,6074263.59919366
"11A-4.O","1","1","A","4","O",642186.875581147,6074263.82419366
"11A-4.I","1","1","A","4","I",642186.650581147,6074263.59919366
"11A-4.N","1","1","A","4","N",642186.650581147,6074263.82419366
"11A-4.E","1","1","A","4","E",642186.875581147,6074263.59919366
"11B-1.O","1","1","B","1","O",642184.096389413,6074263.91304965
"11B-1.I","1","1","B","1","I",642184.184777761,6074264.001438
"11B-1.S","1","1","B","1","S",642184.184777761,6074263.91304965
"11B-1.W","1","1","B","1","W",642184.096389413,6074264.001438
"11B-2.O","1","1","B","2","O",642184.703083587,6074263.84474383
"11B-2.I","1","1","B","2","I",642184.478083587,6074264.06974383
"11B-2.S","1","1","B","2","S",642184.478083587,6074263.84474383
"11B-2.E","1","1","B","2","E",642184.703083587,6074264.06974383
"11B-3.O","1","1","B","3","O",642184.028083587,6074264.51974383
"11B-3.I","1","1","B","3","I",642184.253083587,6074264.29474383
"11B-3.N","1","1","B","3","N",642184.253083587,6074264.51974383
"11B-3.W","1","1","B","3","W",642184.028083587,6074264.29474383
"11B-4.O","1","1","B","4","O",642184.703083587,6074264.51974383
"11B-4.I","1","1","B","4","I",642184.478083587,6074264.29474383
"11B-4.N","1","1","B","4","N",642184.478083587,6074264.51974383
"11B-4.E","1","1","B","4","E",642184.703083587,6074264.29474383
"11C-1.O","1","1","C","1","O",642181.314878265,6074264.57606966
"11C-1.I","1","1","C","1","I",642181.403266613,6074264.48768132
"11C-1.N","1","1","C","1","N",642181.403266613,6074264.57606966
"11C-1.W","1","1","C","1","W",642181.314878265,6074264.48768132
"11C-2.O","1","1","C","2","O",642181.92157244,6074263.96937549
"11C-2.I","1","1","C","2","I",642181.696572439,6074264.19437549
"11C-2.S","1","1","C","2","S",642181.696572439,6074263.96937549
"11C-2.E","1","1","C","2","E",642181.92157244,6074264.19437549
"11C-3.O","1","1","C","3","O",642181.92157244,6074264.64437549
"11C-3.I","1","1","C","3","I",642181.696572439,6074264.41937549
"11C-3.N","1","1","C","3","N",642181.696572439,6074264.64437549
"11C-3.E","1","1","C","3","E",642181.92157244,6074264.41937549
"11C-4.O","1","1","C","4","O",642181.24657244,6074263.96937549
"11C-4.I","1","1","C","4","I",642181.47157244,6074264.19437549
"11C-4.S","1","1","C","4","S",642181.47157244,6074263.96937549
"11C-4.W","1","1","C","4","W",642181.24657244,6074264.19437549
"21A-1.O","2","1","A","1","O",642190.405673568,6074267.44266487
"21A-1.I","2","1","A","1","I",642190.31728522,6074267.53105322
"21A-1.S","2","1","A","1","S",642190.31728522,6074267.44266487
"21A-1.E","2","1","A","1","E",642190.405673568,6074267.53105322
"21A-2.O","2","1","A","2","O",642190.473979394,6074268.04935905
"21A-2.I","2","1","A","2","I",642190.248979394,6074267.82435905
"21A-2.N","2","1","A","2","N",642190.248979394,6074268.04935905
"21A-2.E","2","1","A","2","E",642190.473979394,6074267.82435905
"21A-3.O","2","1","A","3","O",642189.798979394,6074268.04935905
"21A-3.I","2","1","A","3","I",642190.023979394,6074267.82435905
"21A-3.N","2","1","A","3","N",642190.023979394,6074268.04935905
"21A-3.W","2","1","A","3","W",642189.798979394,6074267.82435905
"21A-4.O","2","1","A","4","O",642189.798979394,6074267.37435905
"21A-4.I","2","1","A","4","I",642190.023979394,6074267.59935905
"21A-4.S","2","1","A","4","S",642190.023979394,6074267.37435905
"21A-4.W","2","1","A","4","W",642189.798979394,6074267.59935905
"21B-1.O","2","1","B","1","O",642192.813750331,6074265.46987018
"21B-1.I","2","1","B","1","I",642192.725361983,6074265.55825853
"21B-1.S","2","1","B","1","S",642192.725361983,6074265.46987018
"21B-1.E","2","1","B","1","E",642192.813750331,6074265.55825853
"21B-2.O","2","1","B","2","O",642192.882056157,6074266.07656436
"21B-2.I","2","1","B","2","I",642192.657056157,6074265.85156436
"21B-2.N","2","1","B","2","N",642192.657056157,6074266.07656436
"21B-2.E","2","1","B","2","E",642192.882056157,6074265.85156436
"21B-3.O","2","1","B","3","O",642192.207056157,6074265.40156436
"21B-3.I","2","1","B","3","I",642192.432056157,6074265.62656436
"21B-3.S","2","1","B","3","S",642192.432056157,6074265.40156436
"21B-3.W","2","1","B","3","W",642192.207056157,6074265.62656436
"21B-4.O","2","1","B","4","O",642192.207056157,6074266.07656436
"21B-4.I","2","1","B","4","I",642192.432056157,6074265.85156436
"21B-4.N","2","1","B","4","N",642192.432056157,6074266.07656436
"21B-4.W","2","1","B","4","W",642192.207056157,6074265.85156436
"21C-1.O","2","1","C","1","O",642191.766464777,6074267.43126111
"21C-1.I","2","1","C","1","I",642191.678076429,6074267.34287276
"21C-1.N","2","1","C","1","N",642191.678076429,6074267.43126111
"21C-1.E","2","1","C","1","E",642191.766464777,6074267.34287276
"21C-2.O","2","1","C","2","O",642191.159770603,6074266.82456694
"21C-2.I","2","1","C","2","I",642191.384770603,6074267.04956694
"21C-2.S","2","1","C","2","S",642191.384770603,6074266.82456694
"21C-2.W","2","1","C","2","W",642191.159770603,6074267.04956694
"21C-3.O","2","1","C","3","O",642191.159770603,6074267.49956694
"21C-3.I","2","1","C","3","I",642191.384770603,6074267.27456694
"21C-3.N","2","1","C","3","N",642191.384770603,6074267.49956694
"21C-3.W","2","1","C","3","W",642191.159770603,6074267.27456694
"21C-4.O","2","1","C","4","O",642191.834770603,6074266.82456694
"21C-4.I","2","1","C","4","I",642191.609770603,6074267.04956694
"21C-4.S","2","1","C","4","S",642191.609770603,6074266.82456694
"21C-4.E","2","1","C","4","E",642191.834770603,6074267.04956694
"31A-1.O","3","1","A","1","O",642181.954468162,6074273.11443012
"31A-1.I","3","1","A","1","I",642182.04285651,6074273.02604177
"31A-1.N","3","1","A","1","N",642182.04285651,6074273.11443012
"31A-1.W","3","1","A","1","W",642181.954468162,6074273.02604177
"31A-2.O","3","1","A","2","O",642182.561162336,6074273.18273595
"31A-2.I","3","1","A","2","I",642182.336162336,6074272.95773594
"31A-2.N","3","1","A","2","N",642182.336162336,6074273.18273595
"31A-2.E","3","1","A","2","E",642182.561162336,6074272.95773594
"31A-3.O","3","1","A","3","O",642181.886162336,6074272.50773594
"31A-3.I","3","1","A","3","I",642182.111162336,6074272.73273594
"31A-3.S","3","1","A","3","S",642182.111162336,6074272.50773594
"31A-3.W","3","1","A","3","W",642181.886162336,6074272.73273594
"31A-4.O","3","1","A","4","O",642182.561162336,6074272.50773594
"31A-4.I","3","1","A","4","I",642182.336162336,6074272.73273594
"31A-4.S","3","1","A","4","S",642182.336162336,6074272.50773594
"31A-4.E","3","1","A","4","E",642182.561162336,6074272.73273594
"31B-1.O","3","1","B","1","O",642185.089012223,6074270.31194323
"31B-1.I","3","1","B","1","I",642185.000623876,6074270.22355488
"31B-1.N","3","1","B","1","N",642185.000623876,6074270.31194323
"31B-1.E","3","1","B","1","E",642185.089012223,6074270.22355488
"31B-2.O","3","1","B","2","O",642184.48231805,6074269.70524905
"31B-2.I","3","1","B","2","I",642184.70731805,6074269.93024905
"31B-2.S","3","1","B","2","S",642184.70731805,6074269.70524905
"31B-2.W","3","1","B","2","W",642184.48231805,6074269.93024905
"31B-3.O","3","1","B","3","O",642185.157318049,6074269.70524905
"31B-3.I","3","1","B","3","I",642184.93231805,6074269.93024905
"31B-3.S","3","1","B","3","S",642184.93231805,6074269.70524905
"31B-3.E","3","1","B","3","E",642185.157318049,6074269.93024905
"31B-4.O","3","1","B","4","O",642184.48231805,6074270.38024905
"31B-4.I","3","1","B","4","I",642184.70731805,6074270.15524905
"31B-4.N","3","1","B","4","N",642184.70731805,6074270.38024905
"31B-4.W","3","1","B","4","W",642184.48231805,6074270.15524905
"31C-1.O","3","1","C","1","O",642187.558053054,6074272.32130623
"31C-1.I","3","1","C","1","I",642187.469664706,6074272.40969457
"31C-1.S","3","1","C","1","S",642187.469664706,6074272.32130623
"31C-1.E","3","1","C","1","E",642187.558053054,6074272.40969457
"31C-2.O","3","1","C","2","O",642187.62635888,6074272.9280004
"31C-2.I","3","1","C","2","I",642187.40135888,6074272.7030004
"31C-2.N","3","1","C","2","N",642187.40135888,6074272.9280004
"31C-2.E","3","1","C","2","E",642187.62635888,6074272.7030004
"31C-3.O","3","1","C","3","O",642186.95135888,6074272.9280004
"31C-3.I","3","1","C","3","I",642187.17635888,6074272.7030004
"31C-3.N","3","1","C","3","N",642187.17635888,6074272.9280004
"31C-3.W","3","1","C","3","W",642186.95135888,6074272.7030004
"31C-4.O","3","1","C","4","O",642186.95135888,6074272.2530004
"31C-4.I","3","1","C","4","I",642187.17635888,6074272.4780004
"31C-4.S","3","1","C","4","S",642187.17635888,6074272.2530004
"31C-4.W","3","1","C","4","W",642186.95135888,6074272.4780004
"41A-1.O","4","1","A","1","O",642181.736676438,6074284.59328985
